Time,CO (MCS),Ethanol (MCS),VOC (MCS),NO2 (GM),Ethanol (GM),VOC (GM),CO (GM)
0.0,3.656,2.683,1.092,0.852,0.614,0.219,0.091
0.1,3.675,2.7,1.098,0.852,0.614,0.22,0.092
0.2,3.682,2.707,1.1,0.853,0.614,0.22,0.092
0.30000000000000004,3.685,2.71,1.101,0.852,0.614,0.221,0.092
0.4,3.64,2.667,1.086,0.853,0.613,0.221,0.092
0.5,3.622,2.65,1.08,0.853,0.614,0.221,0.091
0.6000000000000001,3.615,2.643,1.078,0.853,0.614,0.221,0.091
0.7000000000000001,3.612,2.641,1.077,0.853,0.614,0.221,0.091
0.8,3.611,2.639,1.076,0.852,0.614,0.22,0.091
0.9,3.611,2.639,1.076,0.851,0.613,0.221,0.091
1.0,3.61,2.639,1.076,0.851,0.613,0.22,0.09
1.1,3.61,2.639,1.076,0.85,0.614,0.22,0.091
1.2000000000000002,3.61,2.639,1.076,0.85,0.614,0.22,0.091
1.3,3.61,2.639,1.076,0.849,0.613,0.22,0.091
1.4000000000000001,3.61,2.639,1.076,0.85,0.614,0.22,0.091
1.5,3.61,2.639,1.076,0.85,0.614,0.22,0.091
1.6,3.61,2.639,1.076,0.849,0.613,0.22,0.09
1.7000000000000002,3.61,2.639,1.076,0.85,0.614,0.22,0.091
1.8,3.61,2.639,1.076,0.849,0.614,0.22,0.09
1.9000000000000001,3.61,2.639,1.076,0.849,0.614,0.22,0.09
2.0,3.61,2.639,1.076,0.849,0.615,0.22,0.09
2.1,3.61,2.639,1.076,0.849,0.614,0.22,0.09
2.2,3.564,2.595,1.061,0.849,0.613,0.22,0.09
2.3000000000000003,3.592,2.621,1.07,0.849,0.613,0.22,0.09
2.4000000000000004,3.557,2.588,1.058,0.849,0.614,0.22,0.089
2.5,3.589,2.618,1.069,0.849,0.614,0.22,0.09
2.6,3.556,2.587,1.058,0.848,0.614,0.22,0.09
2.7,3.589,2.618,1.069,0.849,0.614,0.22,0.09
2.8000000000000003,3.556,2.587,1.058,0.848,0.614,0.22,0.089
2.9000000000000004,3.543,2.574,1.053,0.849,0.614,0.22,0.089
3.0,3.537,2.569,1.052,0.848,0.613,0.22,0.09
3.1,3.535,2.567,1.051,0.849,0.614,0.22,0.089
3.2,3.535,2.567,1.051,0.849,0.613,0.22,0.089
3.3000000000000003,3.534,2.566,1.051,0.849,0.613,0.22,0.089
3.4000000000000004,3.534,2.566,1.05,0.848,0.613,0.22,0.088
3.5,3.534,2.566,1.05,0.848,0.614,0.22,0.089
3.6,3.534,2.566,1.05,0.849,0.614,0.22,0.089
3.7,3.534,2.566,1.05,0.848,0.614,0.22,0.089
3.8000000000000003,3.534,2.566,1.05,0.849,0.613,0.22,0.088
3.9000000000000004,3.534,2.566,1.05,0.849,0.613,0.22,0.088
4.0,3.534,2.566,1.05,0.848,0.614,0.219,0.088
4.1000000000000005,3.58,2.61,1.066,0.848,0.613,0.22,0.089
4.2,3.552,2.584,1.057,0.849,0.613,0.219,0.088
4.3,3.541,2.573,1.053,0.849,0.614,0.22,0.088
4.4,3.537,2.569,1.051,0.849,0.614,0.22,0.088
4.5,3.581,2.611,1.066,0.85,0.614,0.22,0.088
4.6000000000000005,3.553,2.584,1.057,0.85,0.615,0.22,0.088
4.7,3.542,2.573,1.053,0.849,0.614,0.22,0.088
4.800000000000001,3.537,2.569,1.051,0.849,0.614,0.22,0.088
4.9,3.535,2.567,1.051,0.849,0.614,0.22,0.089
5.0,3.672,2.699,1.097,0.85,0.615,0.22,0.088
5.1000000000000005,3.589,2.619,1.069,0.85,0.614,0.22,0.088
5.2,3.556,2.587,1.058,0.85,0.615,0.22,0.088
5.300000000000001,3.727,2.752,1.116,0.849,0.614,0.22,0.087
5.4,3.611,2.64,1.077,0.85,0.614,0.22,0.088
5.5,3.565,2.596,1.061,0.851,0.614,0.221,0.088
5.6000000000000005,3.546,2.578,1.055,0.85,0.615,0.221,0.088
5.7,3.539,2.571,1.052,0.85,0.614,0.221,0.087
5.800000000000001,3.491,2.525,1.036,0.851,0.614,0.22,0.088
5.9,3.517,2.55,1.045,0.851,0.614,0.22,0.088
6.0,3.527,2.56,1.048,0.852,0.613,0.221,0.088
6.1000000000000005,3.531,2.563,1.049,0.852,0.614,0.221,0.088
6.2,3.533,2.565,1.05,0.852,0.614,0.221,0.088
6.300000000000001,3.534,2.566,1.05,0.851,0.615,0.221,0.088
6.4,3.534,2.566,1.05,0.851,0.615,0.221,0.087
6.5,3.488,2.523,1.035,0.85,0.615,0.221,0.088
6.6000000000000005,3.516,2.549,1.044,0.851,0.614,0.221,0.088
6.7,3.527,2.559,1.048,0.851,0.614,0.221,0.088
6.800000000000001,3.531,2.563,1.049,0.85,0.614,0.222,0.087
6.9,3.487,2.522,1.035,0.851,0.614,0.221,0.087
7.0,3.515,2.548,1.044,0.851,0.614,0.222,0.088
7.1000000000000005,3.527,2.559,1.048,0.851,0.613,0.222,0.088
7.2,3.577,2.607,1.065,0.85,0.614,0.221,0.088
7.300000000000001,3.551,2.582,1.056,0.851,0.613,0.221,0.087
7.4,3.541,2.573,1.053,0.852,0.614,0.222,0.087
7.5,3.537,2.569,1.051,0.852,0.614,0.222,0.088
7.6000000000000005,3.535,2.567,1.051,0.853,0.613,0.222,0.087
7.7,3.534,2.567,1.051,0.853,0.613,0.222,0.088
7.800000000000001,3.534,2.566,1.05,0.853,0.614,0.222,0.087
7.9,3.534,2.566,1.05,0.853,0.614,0.222,0.088
8.0,3.534,2.566,1.05,0.852,0.614,0.222,0.088
8.1,3.534,2.566,1.05,0.852,0.613,0.222,0.087
8.200000000000001,3.534,2.566,1.05,0.853,0.614,0.222,0.087
8.3,3.534,2.566,1.05,0.852,0.614,0.223,0.088
8.4,3.534,2.566,1.05,0.852,0.614,0.222,0.087
8.5,3.534,2.566,1.05,0.852,0.614,0.222,0.088
8.6,3.534,2.566,1.05,0.852,0.615,0.223,0.087
8.700000000000001,3.534,2.566,1.05,0.853,0.615,0.223,0.087
8.8,3.534,2.566,1.05,0.853,0.614,0.223,0.087
8.9,3.534,2.566,1.05,0.853,0.614,0.224,0.087
9.0,3.534,2.566,1.05,0.853,0.614,0.223,0.087
9.1,3.534,2.566,1.05,0.854,0.614,0.224,0.087
9.200000000000001,3.534,2.566,1.05,0.853,0.614,0.224,0.087
9.3,3.534,2.566,1.05,0.853,0.615,0.224,0.087
9.4,3.534,2.566,1.05,0.854,0.615,0.224,0.087
9.5,3.489,2.523,1.035,0.853,0.615,0.224,0.087
9.600000000000001,3.47,2.506,1.029,0.853,0.615,0.225,0.086
9.700000000000001,3.509,2.542,1.042,0.853,0.616,0.224,0.087
9.8,3.524,2.556,1.047,0.853,0.615,0.225,0.088
9.9,3.576,2.606,1.064,0.854,0.614,0.225,0.087
10.0,3.551,2.582,1.056,0.853,0.615,0.224,0.087
10.100000000000001,3.541,2.572,1.053,0.854,0.614,0.224,0.087
10.200000000000001,3.537,2.569,1.051,0.853,0.614,0.224,0.088
10.3,3.49,2.524,1.035,0.854,0.614,0.225,0.087
10.4,3.516,2.549,1.044,0.854,0.614,0.224,0.086
10.5,3.527,2.559,1.048,0.854,0.614,0.225,0.086
10.600000000000001,3.531,2.563,1.049,0.854,0.615,0.225,0.087
10.700000000000001,3.533,2.565,1.05,0.854,0.614,0.225,0.086
10.8,3.534,2.566,1.05,0.855,0.615,0.225,0.087
10.9,3.534,2.566,1.05,0.854,0.614,0.225,0.087
11.0,3.488,2.523,1.035,0.855,0.615,0.226,0.086
11.100000000000001,3.47,2.506,1.029,0.854,0.615,0.226,0.087
11.200000000000001,3.509,2.542,1.042,0.854,0.615,0.226,0.086
11.3,3.524,2.556,1.047,0.855,0.614,0.226,0.087
11.4,3.53,2.562,1.049,0.855,0.615,0.226,0.087
11.5,3.487,2.522,1.035,0.855,0.615,0.226,0.087
11.600000000000001,3.47,2.505,1.029,0.855,0.614,0.226,0.087
11.700000000000001,3.418,2.456,1.011,0.855,0.614,0.226,0.087
11.8,3.533,2.566,1.05,0.855,0.614,0.227,0.087
11.9,3.534,2.566,1.05,0.856,0.615,0.227,0.087
12.0,3.534,2.566,1.05,0.855,0.615,0.227,0.087
12.100000000000001,3.534,2.566,1.05,0.855,0.614,0.227,0.087
12.200000000000001,3.489,2.523,1.035,0.855,0.614,0.227,0.087
12.3,3.516,2.549,1.044,0.856,0.614,0.227,0.088
12.4,3.527,2.559,1.048,0.857,0.614,0.228,0.087
12.5,3.531,2.563,1.049,0.856,0.615,0.228,0.087
12.600000000000001,3.533,2.565,1.05,0.856,0.614,0.228,0.087
12.700000000000001,3.488,2.523,1.035,0.856,0.614,0.228,0.086
12.8,3.516,2.549,1.044,0.857,0.614,0.228,0.087
12.9,3.527,2.559,1.048,0.857,0.614,0.228,0.086
13.0,3.531,2.563,1.049,0.857,0.614,0.228,0.087
13.100000000000001,3.533,2.565,1.05,0.858,0.615,0.229,0.087
13.200000000000001,3.353,2.397,0.99,0.857,0.614,0.228,0.087
13.3,3.462,2.498,1.026,0.857,0.614,0.228,0.087
13.4,3.505,2.539,1.041,0.857,0.614,0.228,0.087
13.5,3.522,2.555,1.047,0.857,0.615,0.228,0.087
13.600000000000001,3.529,2.562,1.049,0.857,0.614,0.229,0.087
13.700000000000001,3.487,2.521,1.035,0.857,0.615,0.229,0.087
13.8,3.515,2.548,1.044,0.858,0.615,0.229,0.087
13.9,3.526,2.559,1.048,0.858,0.614,0.229,0.087
14.0,3.531,2.563,1.049,0.858,0.615,0.229,0.087
14.100000000000001,3.533,2.565,1.05,0.857,0.614,0.23,0.086
14.200000000000001,3.488,2.523,1.035,0.858,0.615,0.23,0.087
14.3,3.516,2.549,1.044,0.858,0.614,0.229,0.087
14.4,3.527,2.559,1.048,0.859,0.614,0.23,0.086
14.5,3.486,2.52,1.034,0.858,0.615,0.23,0.087
14.600000000000001,3.515,2.548,1.044,0.857,0.614,0.23,0.087
14.700000000000001,3.481,2.516,1.033,0.858,0.614,0.23,0.086
14.8,3.467,2.503,1.028,0.858,0.615,0.23,0.087
14.9,3.462,2.498,1.026,0.858,0.614,0.231,0.086
15.0,3.505,2.539,1.041,0.859,0.614,0.23,0.086
15.100000000000001,3.522,2.555,1.047,0.859,0.614,0.23,0.087
15.200000000000001,3.484,2.519,1.034,0.859,0.614,0.231,0.086
15.3,3.468,2.504,1.028,0.859,0.615,0.23,0.086
15.4,3.462,2.498,1.026,0.86,0.615,0.231,0.086
15.5,3.505,2.539,1.041,0.86,0.615,0.231,0.086
15.600000000000001,3.523,2.555,1.047,0.86,0.614,0.231,0.086
15.700000000000001,3.484,2.519,1.034,0.859,0.615,0.231,0.086
15.8,3.469,2.504,1.028,0.859,0.615,0.232,0.086
15.9,3.462,2.498,1.026,0.86,0.615,0.232,0.086
16.0,3.46,2.496,1.025,0.86,0.615,0.232,0.087
16.1,3.459,2.495,1.025,0.86,0.615,0.232,0.086
16.2,3.504,2.538,1.04,0.86,0.615,0.233,0.087
16.3,3.477,2.512,1.031,0.86,0.614,0.233,0.086
16.400000000000002,3.466,2.501,1.027,0.86,0.615,0.232,0.086
16.5,3.507,2.54,1.041,0.861,0.615,0.233,0.086
16.6,3.523,2.556,1.047,0.861,0.616,0.233,0.087
16.7,3.484,2.519,1.034,0.861,0.616,0.233,0.086
16.8,3.469,2.504,1.028,0.862,0.615,0.233,0.087
16.900000000000002,3.372,2.414,0.996,0.861,0.616,0.233,0.086
17.0,3.424,2.462,1.013,0.86,0.615,0.233,0.087
17.1,3.444,2.481,1.02,0.86,0.614,0.233,0.086
17.2,3.453,2.489,1.023,0.86,0.615,0.234,0.086
17.3,3.456,2.492,1.024,0.861,0.615,0.233,0.086
17.400000000000002,3.503,2.537,1.04,0.86,0.615,0.233,0.086
17.5,3.476,2.511,1.031,0.861,0.615,0.234,0.087
17.6,3.465,2.501,1.027,0.861,0.615,0.234,0.087
17.7,3.461,2.497,1.026,0.861,0.615,0.234,0.087
17.8,3.459,2.495,1.025,0.86,0.615,0.234,0.086
17.900000000000002,3.459,2.495,1.025,0.861,0.614,0.234,0.086
18.0,3.458,2.495,1.025,0.861,0.615,0.234,0.086
18.1,3.458,2.494,1.025,0.861,0.614,0.234,0.086
18.2,3.458,2.494,1.025,0.861,0.614,0.234,0.086
18.3,3.458,2.494,1.025,0.861,0.615,0.234,0.086
18.400000000000002,3.458,2.494,1.025,0.861,0.615,0.234,0.087
18.5,3.458,2.494,1.025,0.862,0.615,0.234,0.087
18.6,3.413,2.452,1.01,0.862,0.616,0.235,0.086
18.7,3.486,2.52,1.034,0.863,0.616,0.235,0.087
18.8,3.515,2.548,1.044,0.862,0.616,0.235,0.087
18.900000000000002,3.481,2.516,1.033,0.863,0.616,0.235,0.086
19.0,3.513,2.546,1.043,0.864,0.617,0.235,0.086
19.1,3.48,2.515,1.032,0.864,0.616,0.235,0.086
19.200000000000003,3.512,2.546,1.043,0.864,0.616,0.236,0.087
19.3,3.48,2.515,1.032,0.864,0.616,0.236,0.086
19.400000000000002,3.512,2.546,1.043,0.865,0.617,0.236,0.086
19.5,3.48,2.515,1.032,0.864,0.616,0.236,0.087
19.6,3.467,2.503,1.028,0.864,0.617,0.236,0.086
19.700000000000003,3.462,2.498,1.026,0.864,0.616,0.236,0.086
19.8,3.46,2.496,1.025,0.862,0.616,0.236,0.087
19.900000000000002,3.504,2.538,1.04,0.863,0.616,0.236,0.087
20.0,3.522,2.555,1.046,0.863,0.615,0.236,0.087
20.1,3.529,2.562,1.049,0.863,0.616,0.236,0.087
20.200000000000003,3.532,2.564,1.05,0.863,0.616,0.236,0.087
20.3,3.533,2.565,1.05,0.864,0.617,0.236,0.086
20.400000000000002,3.488,2.523,1.035,0.865,0.616,0.236,0.086
20.5,3.516,2.549,1.044,0.864,0.616,0.236,0.087
20.6,3.481,2.516,1.033,0.864,0.615,0.236,0.086
20.700000000000003,3.467,2.503,1.028,0.864,0.616,0.236,0.086
20.8,3.507,2.541,1.041,0.864,0.616,0.236,0.087
20.900000000000002,3.478,2.513,1.032,0.863,0.615,0.236,0.086
21.0,3.512,2.545,1.043,0.864,0.616,0.236,0.086
21.1,3.48,2.515,1.032,0.864,0.616,0.236,0.086
21.200000000000003,3.467,2.502,1.028,0.864,0.616,0.237,0.086
21.3,3.462,2.498,1.026,0.864,0.616,0.237,0.086
21.400000000000002,3.46,2.496,1.025,0.865,0.617,0.237,0.087
21.5,3.459,2.495,1.025,0.864,0.617,0.237,0.087
21.6,3.458,2.495,1.025,0.864,0.616,0.237,0.086
21.700000000000003,3.458,2.494,1.025,0.864,0.616,0.237,0.087
21.8,3.504,2.537,1.04,0.864,0.616,0.237,0.087
21.900000000000002,3.522,2.555,1.046,0.865,0.616,0.237,0.086
22.0,3.484,2.518,1.034,0.864,0.616,0.237,0.087
22.1,3.468,2.504,1.028,0.864,0.616,0.237,0.087
22.200000000000003,3.462,2.498,1.026,0.864,0.617,0.238,0.087
22.3,3.505,2.539,1.041,0.865,0.616,0.237,0.087
22.400000000000002,3.523,2.555,1.047,0.864,0.616,0.237,0.087
22.5,3.484,2.519,1.034,0.865,0.617,0.238,0.087
22.6,3.469,2.504,1.028,0.865,0.616,0.238,0.087
22.700000000000003,3.554,2.585,1.057,0.865,0.616,0.238,0.086
22.8,3.542,2.574,1.053,0.865,0.616,0.238,0.086
22.900000000000002,3.492,2.526,1.036,0.864,0.616,0.238,0.086
23.0,3.563,2.594,1.06,0.865,0.617,0.238,0.087
23.1,3.546,2.577,1.054,0.864,0.616,0.238,0.087
23.200000000000003,3.584,2.614,1.067,0.865,0.616,0.238,0.086
23.3,3.509,2.542,1.042,0.865,0.617,0.239,0.087
23.400000000000002,3.57,2.6,1.062,0.865,0.616,0.238,0.087
23.5,3.733,2.757,1.118,0.865,0.616,0.239,0.087
23.6,3.613,2.642,1.077,0.865,0.616,0.239,0.087
23.700000000000003,3.566,2.597,1.061,0.865,0.616,0.24,0.087
23.8,3.501,2.535,1.039,0.865,0.616,0.239,0.087
23.900000000000002,3.475,2.511,1.031,0.865,0.616,0.24,0.087
24.0,3.465,2.501,1.027,0.866,0.617,0.24,0.087
24.1,3.461,2.497,1.026,0.865,0.616,0.239,0.086
24.200000000000003,3.459,2.495,1.025,0.866,0.616,0.24,0.086
24.3,3.459,2.495,1.025,0.866,0.617,0.24,0.087
24.400000000000002,3.458,2.495,1.025,0.865,0.617,0.24,0.086
24.5,3.458,2.494,1.025,0.865,0.616,0.24,0.087
24.6,3.458,2.494,1.025,0.865,0.617,0.241,0.086
24.700000000000003,3.504,2.537,1.04,0.866,0.617,0.241,0.087
24.8,3.476,2.512,1.031,0.865,0.617,0.241,0.087
24.900000000000002,3.465,2.501,1.027,0.866,0.617,0.241,0.086
25.0,3.461,2.497,1.026,0.865,0.617,0.241,0.086
25.1,3.459,2.495,1.025,0.865,0.617,0.24,0.087
25.200000000000003,3.459,2.495,1.025,0.865,0.617,0.241,0.087
25.3,3.458,2.495,1.025,0.866,0.617,0.241,0.087
25.400000000000002,3.458,2.494,1.025,0.866,0.617,0.24,0.087
25.5,3.458,2.494,1.025,0.866,0.616,0.241,0.087
25.6,3.458,2.494,1.025,0.866,0.616,0.241,0.087
25.700000000000003,3.458,2.494,1.025,0.866,0.617,0.241,0.087
25.8,3.458,2.494,1.025,0.866,0.616,0.241,0.087
25.900000000000002,3.504,2.537,1.04,0.866,0.617,0.241,0.087
26.0,3.476,2.512,1.031,0.866,0.616,0.241,0.086
26.1,3.465,2.501,1.027,0.865,0.617,0.242,0.087
26.200000000000003,3.461,2.497,1.026,0.865,0.616,0.241,0.087
26.3,3.459,2.495,1.025,0.865,0.616,0.242,0.087
26.400000000000002,3.504,2.538,1.04,0.866,0.616,0.241,0.087
26.5,3.477,2.512,1.031,0.866,0.616,0.241,0.086
26.6,3.466,2.501,1.027,0.866,0.615,0.241,0.087
26.700000000000003,3.507,2.54,1.041,0.866,0.616,0.241,0.087
26.8,3.478,2.513,1.031,0.866,0.617,0.242,0.086
26.900000000000002,3.466,2.502,1.028,0.866,0.617,0.241,0.087
27.0,3.461,2.497,1.026,0.865,0.617,0.242,0.087
27.1,3.459,2.496,1.025,0.866,0.617,0.242,0.087
27.200000000000003,3.459,2.495,1.025,0.865,0.617,0.242,0.087
27.3,3.458,2.495,1.025,0.865,0.616,0.242,0.087
27.400000000000002,3.458,2.494,1.025,0.865,0.617,0.242,0.087
27.5,3.458,2.494,1.025,0.866,0.616,0.242,0.087
27.6,3.458,2.494,1.025,0.866,0.617,0.242,0.087
27.700000000000003,3.504,2.537,1.04,0.865,0.616,0.241,0.087
27.8,3.476,2.512,1.031,0.865,0.617,0.242,0.087
27.900000000000002,3.465,2.501,1.027,0.865,0.616,0.242,0.087
28.0,3.461,2.497,1.026,0.865,0.617,0.242,0.086
28.1,3.459,2.495,1.025,0.865,0.616,0.242,0.087
28.200000000000003,3.459,2.495,1.025,0.866,0.616,0.242,0.087
28.3,3.458,2.495,1.025,0.866,0.617,0.242,0.087
28.400000000000002,3.458,2.494,1.025,0.867,0.616,0.242,0.088
28.5,3.458,2.494,1.025,0.866,0.616,0.242,0.087
28.6,3.458,2.494,1.025,0.866,0.617,0.242,0.087
28.700000000000003,3.458,2.494,1.025,0.865,0.616,0.242,0.087
28.8,3.458,2.494,1.025,0.865,0.617,0.242,0.087
28.900000000000002,3.458,2.494,1.025,0.866,0.617,0.242,0.087
29.0,3.458,2.494,1.025,0.866,0.617,0.242,0.087
