Time,CO (MCS),Ethanol (MCS),VOC (MCS),NO2 (GM),Ethanol (GM),VOC (GM),CO (GM)
0.0,2.279,1.446,0.639,0.9,0.729,0.359,0.034
0.25,2.299,1.462,0.645,0.901,0.729,0.358,0.034
0.5,2.306,1.469,0.648,0.899,0.73,0.357,0.034
0.75,2.309,1.471,0.649,0.899,0.729,0.356,0.035
1.0,2.311,1.472,0.649,0.898,0.728,0.356,0.034
1.25,2.311,1.473,0.649,0.898,0.729,0.356,0.034
1.5,2.311,1.473,0.649,0.899,0.729,0.355,0.034
1.75,2.343,1.5,0.659,0.899,0.73,0.354,0.035
2.0,2.292,1.457,0.643,0.9,0.73,0.354,0.034
2.25,2.304,1.467,0.647,0.899,0.729,0.353,0.034
2.5,2.308,1.47,0.648,0.898,0.729,0.353,0.035
2.75,2.31,1.472,0.649,0.898,0.73,0.352,0.034
3.0,2.279,1.446,0.639,0.898,0.729,0.353,0.035
3.25,2.298,1.462,0.645,0.898,0.73,0.352,0.034
3.5,2.306,1.469,0.648,0.899,0.73,0.353,0.034
3.75,2.309,1.471,0.649,0.899,0.73,0.353,0.034
4.0,2.311,1.472,0.649,0.898,0.729,0.352,0.035
4.25,2.311,1.473,0.649,0.898,0.73,0.352,0.035
4.5,2.279,1.446,0.639,0.899,0.73,0.352,0.034
4.75,2.299,1.462,0.645,0.899,0.729,0.353,0.035
5.0,2.306,1.469,0.648,0.9,0.728,0.353,0.035
5.25,2.278,1.445,0.638,0.901,0.729,0.354,0.034
5.5,2.266,1.435,0.635,0.901,0.73,0.355,0.034
5.75,2.293,1.458,0.643,0.902,0.73,0.356,0.035
6.0,2.272,1.44,0.637,0.903,0.73,0.357,0.034
6.25,2.264,1.433,0.634,0.903,0.729,0.358,0.035
6.5,2.261,1.431,0.633,0.904,0.729,0.358,0.035
6.75,2.259,1.43,0.633,0.905,0.73,0.36,0.034
7.0,2.259,1.429,0.632,0.904,0.729,0.36,0.035
7.25,2.227,1.403,0.622,0.905,0.728,0.361,0.036
7.5,2.214,1.392,0.618,0.907,0.729,0.361,0.035
7.75,2.209,1.388,0.617,0.906,0.729,0.363,0.035
8.0,2.176,1.361,0.606,0.906,0.729,0.364,0.035
8.25,2.194,1.375,0.612,0.908,0.73,0.364,0.034
8.5,2.201,1.381,0.614,0.908,0.73,0.364,0.035
8.75,2.204,1.384,0.615,0.907,0.73,0.365,0.035
9.0,2.205,1.385,0.615,0.908,0.73,0.365,0.035
9.25,2.174,1.359,0.606,0.909,0.73,0.366,0.034
9.5,2.162,1.349,0.602,0.909,0.731,0.366,0.035
9.75,2.157,1.345,0.6,0.909,0.73,0.366,0.035
10.0,2.155,1.344,0.6,0.909,0.73,0.367,0.035
10.25,2.154,1.343,0.599,0.909,0.73,0.366,0.035
10.5,2.153,1.343,0.599,0.909,0.73,0.366,0.035
10.75,2.122,1.317,0.589,0.908,0.731,0.367,0.035
11.0,2.109,1.307,0.585,0.907,0.731,0.367,0.035
11.25,2.136,1.328,0.594,0.908,0.731,0.367,0.035
11.5,2.115,1.311,0.587,0.908,0.73,0.368,0.035
11.75,2.107,1.305,0.584,0.909,0.731,0.367,0.034
12.0,2.135,1.327,0.593,0.91,0.731,0.368,0.034
12.25,2.115,1.311,0.587,0.909,0.731,0.367,0.035
12.5,2.106,1.304,0.584,0.908,0.73,0.368,0.034
12.75,2.103,1.302,0.583,0.908,0.73,0.368,0.035
13.0,2.102,1.301,0.583,0.909,0.73,0.369,0.035
13.25,2.101,1.3,0.583,0.909,0.73,0.368,0.035
13.5,2.101,1.3,0.583,0.908,0.729,0.369,0.035
13.75,2.101,1.3,0.583,0.908,0.73,0.368,0.035
14.0,2.101,1.3,0.583,0.908,0.73,0.368,0.035
14.25,2.101,1.3,0.583,0.909,0.731,0.367,0.035
14.5,2.101,1.3,0.583,0.91,0.731,0.368,0.035
14.75,2.101,1.3,0.583,0.909,0.731,0.369,0.035
15.0,2.101,1.3,0.583,0.909,0.731,0.37,0.035
15.25,2.101,1.3,0.583,0.909,0.732,0.369,0.035
15.5,2.101,1.3,0.583,0.909,0.731,0.37,0.035
15.75,2.101,1.3,0.583,0.908,0.731,0.37,0.035
16.0,2.07,1.275,0.573,0.908,0.73,0.369,0.035
16.25,2.089,1.29,0.579,0.908,0.73,0.369,0.035
16.5,2.096,1.296,0.581,0.909,0.732,0.37,0.034
16.75,2.099,1.298,0.582,0.907,0.731,0.369,0.035
17.0,2.1,1.299,0.582,0.906,0.731,0.369,0.036
17.25,2.07,1.275,0.573,0.907,0.731,0.37,0.035
17.5,2.089,1.29,0.579,0.908,0.73,0.37,0.035
17.75,2.096,1.296,0.581,0.907,0.73,0.37,0.035
18.0,2.099,1.298,0.582,0.908,0.731,0.37,0.035
18.25,2.1,1.299,0.582,0.907,0.731,0.37,0.035
18.5,2.101,1.3,0.583,0.907,0.731,0.371,0.035
18.75,2.07,1.275,0.573,0.907,0.731,0.37,0.035
19.0,2.089,1.29,0.579,0.907,0.73,0.37,0.035
19.25,2.096,1.296,0.581,0.906,0.73,0.37,0.035
19.5,2.099,1.298,0.582,0.906,0.73,0.37,0.035
19.75,2.069,1.274,0.573,0.906,0.73,0.37,0.035
20.0,2.057,1.265,0.569,0.906,0.73,0.37,0.034
20.25,2.052,1.261,0.567,0.906,0.731,0.37,0.035
20.5,2.051,1.259,0.567,0.907,0.731,0.37,0.034
20.75,2.05,1.259,0.567,0.906,0.731,0.37,0.034
21.0,2.049,1.258,0.566,0.908,0.731,0.37,0.035
21.25,2.049,1.258,0.566,0.907,0.731,0.371,0.034
21.5,2.049,1.258,0.566,0.907,0.73,0.372,0.034
21.75,2.049,1.258,0.566,0.906,0.729,0.371,0.035
22.0,2.049,1.258,0.566,0.905,0.73,0.371,0.035
22.25,2.049,1.258,0.566,0.906,0.73,0.37,0.035
22.5,2.049,1.258,0.566,0.906,0.729,0.371,0.035
22.75,2.049,1.258,0.566,0.906,0.73,0.37,0.035
23.0,2.018,1.234,0.557,0.906,0.729,0.371,0.035
23.25,2.037,1.248,0.563,0.905,0.73,0.371,0.035
23.5,2.044,1.254,0.565,0.906,0.73,0.372,0.034
23.75,2.047,1.257,0.566,0.906,0.729,0.372,0.035
24.0,2.048,1.258,0.566,0.906,0.729,0.372,0.035
24.25,2.08,1.283,0.576,0.907,0.729,0.372,0.035
24.5,2.062,1.268,0.57,0.906,0.73,0.372,0.035
24.75,2.054,1.262,0.568,0.907,0.73,0.372,0.035
25.0,2.051,1.26,0.567,0.906,0.73,0.372,0.035
25.25,2.05,1.259,0.567,0.906,0.73,0.372,0.035
25.5,2.05,1.259,0.567,0.906,0.729,0.373,0.035
25.75,2.049,1.258,0.566,0.905,0.73,0.372,0.036
26.0,2.049,1.258,0.566,0.906,0.731,0.373,0.035
26.25,2.049,1.258,0.566,0.906,0.73,0.372,0.035
26.5,2.08,1.283,0.576,0.906,0.73,0.372,0.035
26.75,2.062,1.268,0.57,0.906,0.73,0.373,0.035
27.0,2.054,1.262,0.568,0.907,0.73,0.373,0.035
27.25,2.051,1.26,0.567,0.907,0.731,0.373,0.035
27.5,2.05,1.259,0.567,0.908,0.73,0.374,0.035
27.75,2.05,1.259,0.567,0.907,0.731,0.374,0.035
28.0,2.018,1.234,0.557,0.906,0.731,0.374,0.035
28.25,2.037,1.248,0.563,0.906,0.73,0.373,0.035
28.5,2.013,1.23,0.555,0.905,0.73,0.373,0.035
28.75,2.035,1.247,0.562,0.906,0.73,0.373,0.035
29.0,2.044,1.254,0.565,0.906,0.731,0.374,0.035
29.25,2.016,1.232,0.556,0.907,0.73,0.374,0.035
29.5,2.036,1.248,0.562,0.908,0.73,0.374,0.035
29.75,2.013,1.229,0.555,0.907,0.731,0.374,0.035
30.0,2.004,1.222,0.552,0.907,0.731,0.374,0.035
30.25,2,1.219,0.551,0.907,0.732,0.374,0.035
30.5,1.968,1.193,0.541,0.907,0.731,0.374,0.035
30.75,2.017,1.232,0.556,0.906,0.73,0.374,0.035
31.0,2.005,1.223,0.553,0.906,0.731,0.375,0.035
31.25,2.032,1.244,0.561,0.906,0.73,0.375,0.035
31.5,2.011,1.228,0.555,0.907,0.731,0.374,0.035
31.75,2.034,1.246,0.562,0.907,0.731,0.375,0.036
32.0,2.043,1.253,0.565,0.908,0.731,0.375,0.035
32.25,2.047,1.256,0.566,0.907,0.732,0.375,0.036
32.5,2.048,1.258,0.566,0.906,0.731,0.376,0.036
32.75,2.049,1.258,0.566,0.906,0.73,0.376,0.036
33.0,2.018,1.233,0.557,0.907,0.731,0.377,0.036
33.25,2.006,1.224,0.553,0.908,0.732,0.377,0.035
33.5,1.97,1.195,0.542,0.908,0.731,0.377,0.035
33.75,2.018,1.233,0.557,0.907,0.73,0.376,0.035
34.0,2.006,1.224,0.553,0.908,0.731,0.377,0.035
34.25,2.001,1.22,0.551,0.907,0.732,0.377,0.035
34.5,1.999,1.218,0.551,0.907,0.731,0.377,0.035
34.75,1.998,1.218,0.55,0.908,0.731,0.378,0.035
35.0,1.998,1.217,0.55,0.908,0.732,0.377,0.035
35.25,2.029,1.242,0.56,0.909,0.732,0.377,0.034
35.5,2.041,1.252,0.564,0.908,0.731,0.378,0.035
35.75,2.046,1.256,0.565,0.908,0.731,0.377,0.034
36.0,2.173,1.36,0.606,0.908,0.731,0.377,0.035
36.25,2.068,1.274,0.572,0.907,0.731,0.378,0.035
36.5,2.026,1.24,0.559,0.907,0.731,0.378,0.035
36.75,2.04,1.251,0.564,0.908,0.731,0.379,0.035
37.0,2.046,1.255,0.565,0.908,0.732,0.378,0.035
37.25,2.048,1.257,0.566,0.908,0.732,0.379,0.035
37.5,2.049,1.258,0.566,0.908,0.732,0.379,0.035
37.75,1.987,1.209,0.547,0.908,0.732,0.378,0.035
38.0,2.025,1.239,0.559,0.909,0.732,0.379,0.035
38.25,2.039,1.25,0.563,0.909,0.733,0.38,0.035
38.5,2.045,1.255,0.565,0.909,0.732,0.38,0.035
38.75,2.017,1.232,0.556,0.909,0.731,0.38,0.035
39.0,2.005,1.223,0.553,0.909,0.732,0.38,0.034
39.25,2.001,1.22,0.551,0.908,0.732,0.38,0.035
39.5,2.219,1.398,0.62,0.908,0.732,0.38,0.035
39.75,2.086,1.29,0.578,0.908,0.732,0.38,0.035
40.0,2.033,1.246,0.562,0.908,0.732,0.38,0.034
40.25,2.012,1.229,0.555,0.909,0.732,0.38,0.035
40.5,2.003,1.222,0.552,0.908,0.733,0.38,0.035
40.75,2,1.219,0.551,0.908,0.733,0.38,0.035
41.0,1.999,1.218,0.551,0.908,0.733,0.38,0.034
41.25,1.998,1.217,0.55,0.909,0.732,0.38,0.035
41.5,1.998,1.217,0.55,0.908,0.732,0.381,0.035
41.75,1.998,1.217,0.55,0.909,0.733,0.381,0.035
42.0,1.998,1.217,0.55,0.909,0.732,0.381,0.035
42.25,1.998,1.217,0.55,0.909,0.733,0.381,0.035
42.5,1.998,1.217,0.55,0.908,0.732,0.381,0.035
42.75,1.998,1.217,0.55,0.908,0.732,0.381,0.035
43.0,1.998,1.217,0.55,0.909,0.731,0.381,0.035
43.25,1.998,1.217,0.55,0.908,0.732,0.381,0.035
43.5,1.998,1.217,0.55,0.909,0.732,0.381,0.035
43.75,1.998,1.217,0.55,0.908,0.733,0.381,0.035
44.0,1.998,1.217,0.55,0.908,0.732,0.381,0.035
44.25,1.998,1.217,0.55,0.909,0.733,0.382,0.035
44.5,1.998,1.217,0.55,0.909,0.732,0.381,0.035
44.75,1.998,1.217,0.55,0.909,0.733,0.381,0.035
45.0,1.998,1.217,0.55,0.909,0.733,0.382,0.035
45.25,1.998,1.217,0.55,0.909,0.733,0.383,0.036
45.5,1.998,1.217,0.55,0.909,0.733,0.384,0.035
45.75,1.998,1.217,0.55,0.909,0.733,0.384,0.035
