Time(s),CO (MCS),Ethanol (MCS),VOC (MCS),NO2 (GM),Ethanol (GM),VOC (GM),CO (GM)
0.1,2.245,1.418,0.628,0.929,0.613,0.46,0.083
0.2,2.496,1.628,0.708,0.929,0.613,0.46,0.083
0.30000000000000004,2.496,1.628,0.708,0.93,0.613,0.46,0.083
0.4,2.496,1.628,0.708,0.929,0.612,0.46,0.083
0.5,2.496,1.628,0.708,0.929,0.613,0.46,0.083
0.6000000000000001,2.496,1.628,0.708,0.929,0.613,0.46,0.083
0.7000000000000001,2.496,1.628,0.708,0.929,0.613,0.46,0.082
0.8,2.496,1.628,0.708,0.929,0.613,0.46,0.083
0.9,2.496,1.628,0.708,0.929,0.612,0.46,0.083
1.0,2.496,1.628,0.708,0.929,0.613,0.46,0.083
1.1,2.496,1.628,0.708,0.929,0.613,0.461,0.083
1.2000000000000002,2.496,1.628,0.708,0.93,0.613,0.461,0.083
1.3,2.496,1.628,0.708,0.929,0.614,0.461,0.083
1.4000000000000001,2.496,1.628,0.708,0.929,0.613,0.461,0.083
1.5,2.581,1.701,0.736,0.93,0.613,0.462,0.083
1.6,2.496,1.628,0.708,0.93,0.613,0.461,0.083
1.7000000000000002,2.581,1.701,0.736,0.93,0.613,0.462,0.084
1.8,2.496,1.628,0.708,0.93,0.613,0.462,0.083
1.9000000000000001,2.581,1.701,0.736,0.93,0.613,0.462,0.083
2.0,2.496,1.628,0.708,0.93,0.613,0.462,0.083
2.1,2.496,1.628,0.708,0.93,0.613,0.462,0.083
2.2,2.496,1.628,0.708,0.931,0.613,0.463,0.083
2.3000000000000003,2.581,1.701,0.736,0.93,0.614,0.463,0.083
2.4000000000000004,2.496,1.628,0.708,0.932,0.614,0.464,0.083
2.5,2.581,1.701,0.736,0.931,0.614,0.464,0.083
2.6,2.496,1.628,0.708,0.93,0.613,0.465,0.083
2.7,2.581,1.701,0.736,0.93,0.613,0.465,0.084
2.8000000000000003,2.496,1.628,0.708,0.931,0.613,0.466,0.084
2.9000000000000004,2.581,1.701,0.736,0.931,0.614,0.466,0.084
3.0,2.496,1.628,0.708,0.931,0.613,0.466,0.084
3.1,2.496,1.628,0.708,0.932,0.614,0.466,0.084
3.2,2.496,1.628,0.708,0.931,0.613,0.466,0.084
3.3000000000000003,2.496,1.628,0.708,0.932,0.614,0.468,0.084
3.4000000000000004,2.581,1.701,0.736,0.932,0.614,0.468,0.084
3.5,2.496,1.628,0.708,0.932,0.613,0.468,0.084
3.6,2.581,1.701,0.736,0.932,0.613,0.468,0.084
3.7,2.496,1.628,0.708,0.932,0.613,0.468,0.084
3.8000000000000003,2.581,1.701,0.736,0.932,0.613,0.469,0.084
3.9000000000000004,2.496,1.628,0.708,0.932,0.614,0.469,0.084
4.0,2.496,1.628,0.708,0.933,0.613,0.469,0.084
4.1000000000000005,2.581,1.701,0.736,0.933,0.615,0.47,0.084
4.2,2.496,1.628,0.708,0.933,0.614,0.47,0.084
4.3,2.581,1.701,0.736,0.932,0.613,0.469,0.084
4.4,2.496,1.628,0.708,0.932,0.614,0.469,0.084
4.5,2.581,1.701,0.736,0.932,0.614,0.47,0.084
4.6000000000000005,2.496,1.628,0.708,0.934,0.614,0.47,0.085
4.7,2.581,1.701,0.736,0.932,0.614,0.47,0.084
4.800000000000001,2.581,1.701,0.736,0.933,0.614,0.47,0.084
4.9,2.496,1.628,0.708,0.932,0.614,0.469,0.084
5.0,2.496,1.628,0.708,0.932,0.614,0.469,0.084
5.1000000000000005,2.581,1.701,0.736,0.932,0.614,0.47,0.084
5.2,2.496,1.628,0.708,0.932,0.614,0.47,0.084
5.300000000000001,2.581,1.701,0.736,0.931,0.614,0.469,0.084
5.4,2.496,1.628,0.708,0.931,0.613,0.469,0.084
5.5,2.496,1.628,0.708,0.931,0.614,0.469,0.084
5.6000000000000005,2.581,1.701,0.736,0.931,0.614,0.469,0.084
5.7,2.581,1.701,0.736,0.93,0.614,0.469,0.084
5.800000000000001,2.496,1.628,0.708,0.931,0.614,0.469,0.084
5.9,2.581,1.701,0.736,0.93,0.614,0.468,0.084
6.0,2.496,1.628,0.708,0.93,0.614,0.469,0.084
6.1000000000000005,2.581,1.701,0.736,0.932,0.614,0.469,0.084
6.2,2.496,1.628,0.708,0.93,0.614,0.469,0.084
6.300000000000001,2.581,1.701,0.736,0.932,0.615,0.469,0.084
6.4,2.496,1.628,0.708,0.93,0.614,0.469,0.084
6.5,2.581,1.701,0.736,0.93,0.614,0.469,0.084
6.6000000000000005,2.581,1.701,0.736,0.932,0.614,0.47,0.084
6.7,2.496,1.628,0.708,0.931,0.615,0.469,0.084
6.800000000000001,2.581,1.701,0.736,0.932,0.614,0.469,0.085
6.9,2.496,1.628,0.708,0.931,0.614,0.469,0.084
7.0,2.496,1.628,0.708,0.932,0.615,0.47,0.084
7.1000000000000005,2.581,1.701,0.736,0.932,0.615,0.47,0.085
7.2,2.496,1.628,0.708,0.932,0.615,0.47,0.084
7.300000000000001,2.581,1.701,0.736,0.932,0.615,0.47,0.084
7.4,2.581,1.701,0.736,0.932,0.614,0.47,0.084
7.5,2.581,1.701,0.736,0.932,0.615,0.47,0.085
7.6000000000000005,2.496,1.628,0.708,0.932,0.614,0.47,0.084
7.7,2.581,1.701,0.736,0.933,0.615,0.471,0.084
7.800000000000001,2.581,1.701,0.736,0.932,0.615,0.47,0.084
7.9,2.581,1.701,0.736,0.932,0.615,0.47,0.084
8.0,2.581,1.701,0.736,0.933,0.615,0.47,0.084
8.1,2.581,1.701,0.736,0.933,0.615,0.471,0.084
8.200000000000001,2.581,1.701,0.736,0.932,0.615,0.47,0.085
8.3,2.581,1.701,0.736,0.932,0.615,0.47,0.084
8.4,2.496,1.628,0.708,0.932,0.616,0.47,0.085
8.5,2.581,1.701,0.736,0.932,0.615,0.47,0.084
8.6,2.496,1.628,0.708,0.932,0.615,0.47,0.084
8.700000000000001,2.581,1.701,0.736,0.932,0.615,0.47,0.084
8.8,2.496,1.628,0.708,0.93,0.615,0.469,0.084
8.9,2.581,1.701,0.736,0.932,0.615,0.47,0.084
9.0,2.581,1.701,0.736,0.93,0.615,0.47,0.084
9.1,2.581,1.701,0.736,0.932,0.616,0.47,0.084
9.200000000000001,2.581,1.701,0.736,0.932,0.616,0.47,0.084
9.3,2.496,1.628,0.708,0.932,0.616,0.47,0.084
9.4,2.581,1.701,0.736,0.932,0.615,0.47,0.084
9.5,2.581,1.701,0.736,0.931,0.614,0.47,0.084
9.600000000000001,2.581,1.701,0.736,0.932,0.617,0.47,0.084
9.700000000000001,2.581,1.701,0.736,0.931,0.615,0.47,0.084
9.8,2.581,1.701,0.736,0.931,0.616,0.47,0.084
9.9,2.581,1.701,0.736,0.932,0.616,0.469,0.084
10.0,2.581,1.701,0.736,0.932,0.617,0.47,0.084
10.100000000000001,2.581,1.701,0.736,0.932,0.617,0.47,0.084
10.200000000000001,2.496,1.628,0.708,0.932,0.616,0.47,0.084
10.3,2.581,1.701,0.736,0.933,0.617,0.47,0.085
10.4,2.581,1.701,0.736,0.932,0.615,0.469,0.084
10.5,2.666,1.775,0.763,0.932,0.616,0.468,0.084
10.600000000000001,2.496,1.628,0.708,0.931,0.617,0.469,0.084
10.700000000000001,2.581,1.701,0.736,0.932,0.615,0.468,0.084
10.8,2.496,1.628,0.708,0.93,0.616,0.468,0.084
10.9,2.581,1.701,0.736,0.932,0.617,0.469,0.084
11.0,2.581,1.701,0.736,0.93,0.616,0.469,0.084
11.100000000000001,2.666,1.775,0.763,0.932,0.617,0.469,0.084
11.200000000000001,2.581,1.701,0.736,0.933,0.617,0.469,0.084
11.3,2.581,1.701,0.736,0.931,0.616,0.468,0.084
11.4,2.581,1.701,0.736,0.933,0.618,0.468,0.084
11.5,2.666,1.775,0.763,0.932,0.617,0.468,0.083
11.600000000000001,2.581,1.701,0.736,0.932,0.617,0.468,0.084
11.700000000000001,2.581,1.701,0.736,0.932,0.617,0.468,0.084
11.8,2.581,1.701,0.736,0.93,0.617,0.468,0.084
11.9,2.581,1.701,0.736,0.932,0.617,0.468,0.084
12.0,2.581,1.701,0.736,0.93,0.616,0.467,0.084
12.100000000000001,2.666,1.775,0.763,0.931,0.616,0.466,0.084
12.200000000000001,2.581,1.701,0.736,0.93,0.617,0.468,0.084
12.3,2.581,1.701,0.736,0.932,0.617,0.468,0.084
12.4,2.328,1.487,0.655,0.932,0.617,0.466,0.084
12.5,2.581,1.701,0.736,0.93,0.617,0.466,0.083
12.600000000000001,2.496,1.628,0.708,0.93,0.617,0.466,0.083
12.700000000000001,2.581,1.701,0.736,0.93,0.617,0.465,0.084
12.8,2.666,1.775,0.763,0.932,0.617,0.466,0.083
12.9,2.581,1.701,0.736,0.93,0.617,0.465,0.084
13.0,2.581,1.701,0.736,0.93,0.618,0.465,0.084
13.100000000000001,2.581,1.701,0.736,0.93,0.618,0.466,0.083
13.200000000000001,2.581,1.701,0.736,0.93,0.617,0.465,0.083
13.3,2.581,1.701,0.736,0.93,0.616,0.464,0.083
13.4,2.581,1.701,0.736,0.929,0.617,0.464,0.084
13.5,2.581,1.701,0.736,0.929,0.617,0.464,0.084
13.600000000000001,2.581,1.701,0.736,0.93,0.617,0.465,0.083
13.700000000000001,2.581,1.701,0.736,0.93,0.617,0.464,0.084
13.8,2.752,1.851,0.791,0.93,0.616,0.465,0.084
13.9,2.581,1.701,0.736,0.93,0.617,0.465,0.084
14.0,2.581,1.701,0.736,0.93,0.617,0.465,0.084
14.100000000000001,2.581,1.701,0.736,0.93,0.617,0.465,0.084
14.200000000000001,2.581,1.701,0.736,0.932,0.617,0.465,0.084
14.3,2.581,1.701,0.736,0.93,0.617,0.465,0.084
14.4,2.581,1.701,0.736,0.931,0.617,0.464,0.084
14.5,2.581,1.701,0.736,0.93,0.617,0.464,0.084
14.600000000000001,2.581,1.701,0.736,0.931,0.617,0.465,0.084
14.700000000000001,2.581,1.701,0.736,0.931,0.617,0.465,0.084
14.8,2.581,1.701,0.736,0.932,0.618,0.465,0.084
14.9,2.581,1.701,0.736,0.932,0.618,0.465,0.083
15.0,2.581,1.701,0.736,0.932,0.618,0.464,0.084
15.100000000000001,2.666,1.775,0.763,0.932,0.617,0.465,0.083
15.200000000000001,2.581,1.701,0.736,0.932,0.618,0.465,0.084
15.3,2.752,1.851,0.791,0.933,0.618,0.465,0.084
15.4,2.581,1.701,0.736,0.932,0.618,0.464,0.084
15.5,2.666,1.775,0.763,0.932,0.617,0.464,0.084
15.600000000000001,2.581,1.701,0.736,0.932,0.618,0.465,0.084
15.700000000000001,2.666,1.775,0.763,0.932,0.618,0.466,0.085
15.8,2.581,1.701,0.736,0.932,0.618,0.466,0.084
15.9,2.581,1.701,0.736,0.933,0.618,0.466,0.084
16.0,2.666,1.775,0.763,0.932,0.618,0.468,0.085
16.1,2.581,1.701,0.736,0.933,0.618,0.465,0.085
16.2,2.666,1.775,0.763,0.933,0.618,0.466,0.084
16.3,2.581,1.701,0.736,0.932,0.618,0.466,0.084
16.400000000000002,2.666,1.775,0.763,0.933,0.618,0.466,0.085
16.5,2.581,1.701,0.736,0.932,0.618,0.466,0.084
16.6,2.666,1.775,0.763,0.932,0.617,0.466,0.084
16.7,2.581,1.701,0.736,0.932,0.618,0.465,0.085
16.8,2.666,1.775,0.763,0.932,0.618,0.466,0.084
16.900000000000002,2.581,1.701,0.736,0.932,0.618,0.466,0.084
17.0,2.581,1.701,0.736,0.932,0.618,0.466,0.084
17.1,2.581,1.701,0.736,0.932,0.618,0.465,0.084
17.2,2.666,1.775,0.763,0.932,0.617,0.465,0.084
17.3,2.581,1.701,0.736,0.93,0.619,0.465,0.084
17.400000000000002,2.666,1.775,0.763,0.932,0.619,0.466,0.084
17.5,2.581,1.701,0.736,0.933,0.619,0.466,0.084
17.6,2.666,1.775,0.763,0.932,0.619,0.466,0.084
17.7,2.581,1.701,0.736,0.932,0.619,0.466,0.084
17.8,2.666,1.775,0.763,0.932,0.619,0.465,0.084
17.900000000000002,2.581,1.701,0.736,0.933,0.619,0.465,0.084
18.0,2.581,1.701,0.736,0.932,0.619,0.466,0.085
18.1,2.581,1.701,0.736,0.933,0.619,0.465,0.084
18.2,2.581,1.701,0.736,0.932,0.62,0.464,0.084
18.3,2.412,1.557,0.681,0.932,0.619,0.465,0.084
18.400000000000002,2.581,1.701,0.736,0.931,0.618,0.465,0.084
18.5,2.581,1.701,0.736,0.932,0.619,0.464,0.084
18.6,2.581,1.701,0.736,0.932,0.619,0.465,0.084
18.7,2.666,1.775,0.763,0.932,0.618,0.465,0.084
18.8,2.581,1.701,0.736,0.932,0.618,0.464,0.085
18.900000000000002,2.666,1.775,0.763,0.931,0.619,0.464,0.084
19.0,2.581,1.701,0.736,0.932,0.618,0.464,0.084
19.1,2.666,1.775,0.763,0.93,0.619,0.464,0.084
19.200000000000003,2.328,1.487,0.655,0.93,0.619,0.463,0.084
19.3,2.581,1.701,0.736,0.931,0.619,0.463,0.084
19.400000000000002,2.581,1.701,0.736,0.932,0.62,0.464,0.084
19.5,2.666,1.775,0.763,0.931,0.618,0.463,0.084
19.6,2.581,1.701,0.736,0.93,0.62,0.463,0.084
19.700000000000003,2.412,1.557,0.681,0.931,0.618,0.463,0.084
19.8,2.581,1.701,0.736,0.931,0.619,0.463,0.084
19.900000000000002,2.666,1.775,0.763,0.93,0.619,0.463,0.084
20.0,2.581,1.701,0.736,0.93,0.62,0.463,0.084
20.1,2.666,1.775,0.763,0.93,0.618,0.463,0.084
20.200000000000003,2.581,1.701,0.736,0.93,0.619,0.463,0.084
20.3,2.666,1.775,0.763,0.93,0.619,0.462,0.084
20.400000000000002,2.581,1.701,0.736,0.93,0.618,0.462,0.084
20.5,2.666,1.775,0.763,0.93,0.619,0.462,0.084
20.6,2.581,1.701,0.736,0.93,0.619,0.463,0.083
20.700000000000003,2.666,1.775,0.763,0.93,0.619,0.461,0.084
20.8,2.581,1.701,0.736,0.929,0.619,0.461,0.084
20.900000000000002,2.581,1.701,0.736,0.93,0.619,0.461,0.084
21.0,2.666,1.775,0.763,0.93,0.62,0.462,0.084
21.1,2.581,1.701,0.736,0.93,0.619,0.461,0.084
21.200000000000003,2.666,1.775,0.763,0.929,0.62,0.461,0.084
21.3,2.581,1.701,0.736,0.93,0.619,0.461,0.084
21.400000000000002,2.666,1.775,0.763,0.929,0.619,0.46,0.084
21.5,2.581,1.701,0.736,0.929,0.62,0.461,0.084
21.6,2.666,1.775,0.763,0.929,0.619,0.46,0.084
21.700000000000003,2.581,1.701,0.736,0.93,0.619,0.46,0.084
21.8,2.581,1.701,0.736,0.93,0.618,0.461,0.084
21.900000000000002,2.581,1.701,0.736,0.93,0.619,0.46,0.084
22.0,2.581,1.701,0.736,0.929,0.62,0.46,0.084
22.1,2.666,1.775,0.763,0.929,0.62,0.46,0.084
22.200000000000003,2.581,1.701,0.736,0.93,0.62,0.46,0.084
22.3,2.581,1.701,0.736,0.93,0.62,0.46,0.084
22.400000000000002,2.666,1.775,0.763,0.929,0.62,0.46,0.084
22.5,2.581,1.701,0.736,0.929,0.619,0.46,0.084
22.6,2.666,1.775,0.763,0.93,0.62,0.46,0.083
22.700000000000003,2.666,1.775,0.763,0.93,0.62,0.46,0.084
22.8,2.581,1.701,0.736,0.93,0.62,0.46,0.084
22.900000000000002,2.581,1.701,0.736,0.93,0.621,0.46,0.084
23.0,2.581,1.701,0.736,0.93,0.621,0.46,0.084
23.1,2.666,1.775,0.763,0.93,0.62,0.46,0.084
23.200000000000003,2.581,1.701,0.736,0.93,0.621,0.46,0.084
23.3,2.666,1.775,0.763,0.93,0.62,0.458,0.084
23.400000000000002,2.581,1.701,0.736,0.93,0.621,0.459,0.084
23.5,2.666,1.775,0.763,0.93,0.62,0.46,0.084
23.6,2.581,1.701,0.736,0.929,0.62,0.459,0.084
23.700000000000003,2.666,1.775,0.763,0.929,0.62,0.459,0.084
23.8,2.581,1.701,0.736,0.93,0.621,0.46,0.084
23.900000000000002,2.666,1.775,0.763,0.929,0.621,0.458,0.083
24.0,2.581,1.701,0.736,0.93,0.621,0.458,0.083
24.1,2.581,1.701,0.736,0.929,0.621,0.458,0.083
24.200000000000003,2.581,1.701,0.736,0.929,0.621,0.457,0.083
24.3,2.581,1.701,0.736,0.929,0.621,0.456,0.083
24.400000000000002,2.581,1.701,0.736,0.929,0.621,0.455,0.082
24.5,2.581,1.701,0.736,0.928,0.621,0.454,0.082
24.6,2.496,1.628,0.708,0.928,0.621,0.454,0.081
24.700000000000003,2.581,1.701,0.736,0.929,0.62,0.454,0.082
24.8,2.581,1.701,0.736,0.928,0.621,0.453,0.082
24.900000000000002,2.581,1.701,0.736,0.928,0.621,0.453,0.082
