Time(s),CO (MCS),Ethanol (MCS),VOC (MCS),NO2 (GM),Ethanol (GM),VOC (GM),CO (GM)
0.1,1.949,1.179,0.535,0.774,0.497,0.152,0.062
0.2,2.198,1.379,0.613,0.774,0.497,0.151,0.063
0.30000000000000004,2.198,1.379,0.613,0.774,0.497,0.152,0.063
0.4,2.198,1.379,0.613,0.774,0.497,0.152,0.063
0.5,2.198,1.379,0.613,0.777,0.497,0.153,0.063
0.6000000000000001,2.198,1.379,0.613,0.776,0.497,0.153,0.062
0.7000000000000001,2.198,1.379,0.613,0.777,0.497,0.153,0.063
0.8,2.198,1.379,0.613,0.779,0.497,0.154,0.063
0.9,2.198,1.379,0.613,0.781,0.497,0.155,0.063
1.0,2.198,1.379,0.613,0.781,0.497,0.156,0.064
1.1,2.324,1.484,0.653,0.782,0.498,0.156,0.064
1.2000000000000002,2.198,1.379,0.613,0.784,0.497,0.158,0.065
1.3,2.324,1.484,0.653,0.786,0.498,0.158,0.065
1.4000000000000001,2.198,1.379,0.613,0.788,0.497,0.16,0.066
1.5,2.324,1.484,0.653,0.789,0.498,0.161,0.066
1.6,2.324,1.484,0.653,0.791,0.498,0.162,0.066
1.7000000000000002,2.324,1.484,0.653,0.793,0.497,0.163,0.067
1.8,2.324,1.484,0.653,0.797,0.497,0.165,0.067
1.9000000000000001,2.324,1.484,0.653,0.8,0.498,0.166,0.068
2.0,2.324,1.484,0.653,0.802,0.498,0.167,0.068
2.1,2.324,1.484,0.653,0.803,0.498,0.168,0.068
2.2,2.324,1.484,0.653,0.805,0.498,0.17,0.068
2.3000000000000003,2.324,1.484,0.653,0.806,0.498,0.171,0.069
2.4000000000000004,2.324,1.484,0.653,0.808,0.498,0.172,0.069
2.5,2.324,1.484,0.653,0.809,0.499,0.172,0.07
2.6,2.324,1.484,0.653,0.81,0.498,0.174,0.07
2.7,2.324,1.484,0.653,0.812,0.498,0.175,0.07
2.8000000000000003,2.324,1.484,0.653,0.813,0.498,0.176,0.07
2.9000000000000004,2.324,1.484,0.653,0.813,0.499,0.177,0.07
3.0,2.324,1.484,0.653,0.813,0.498,0.178,0.07
3.1,2.324,1.484,0.653,0.816,0.499,0.178,0.07
3.2,2.324,1.484,0.653,0.817,0.498,0.18,0.07
3.3000000000000003,2.324,1.484,0.653,0.817,0.499,0.18,0.071
3.4000000000000004,2.324,1.484,0.653,0.817,0.499,0.182,0.071
3.5,2.324,1.484,0.653,0.818,0.5,0.182,0.071
3.6,2.324,1.484,0.653,0.82,0.499,0.183,0.071
3.7,2.324,1.484,0.653,0.82,0.499,0.184,0.071
3.8000000000000003,2.324,1.484,0.653,0.82,0.499,0.184,0.071
3.9000000000000004,2.324,1.484,0.653,0.821,0.499,0.184,0.071
4.0,2.452,1.591,0.694,0.822,0.5,0.186,0.072
4.1000000000000005,2.324,1.484,0.653,0.822,0.499,0.187,0.071
4.2,2.324,1.484,0.653,0.822,0.5,0.188,0.071
4.3,2.324,1.484,0.653,0.824,0.5,0.188,0.072
4.4,2.324,1.484,0.653,0.824,0.5,0.189,0.072
4.5,2.324,1.484,0.653,0.825,0.5,0.19,0.071
4.6000000000000005,2.452,1.591,0.694,0.826,0.501,0.19,0.072
4.7,2.842,1.93,0.821,0.825,0.5,0.191,0.072
4.800000000000001,2.842,1.93,0.821,0.827,0.501,0.191,0.071
4.9,2.452,1.591,0.694,0.827,0.501,0.192,0.072
5.0,2.324,1.484,0.653,0.828,0.501,0.193,0.072
5.1000000000000005,2.452,1.591,0.694,0.827,0.5,0.193,0.071
5.2,2.452,1.591,0.694,0.827,0.5,0.194,0.071
5.300000000000001,2.452,1.591,0.694,0.828,0.5,0.194,0.072
5.4,2.452,1.591,0.694,0.828,0.5,0.195,0.072
5.5,2.452,1.591,0.694,0.829,0.501,0.196,0.072
5.6000000000000005,2.452,1.591,0.694,0.832,0.5,0.196,0.072
5.7,2.452,1.591,0.694,0.832,0.501,0.196,0.072
5.800000000000001,2.452,1.591,0.694,0.832,0.501,0.197,0.072
5.9,2.452,1.591,0.694,0.832,0.501,0.198,0.072
6.0,2.452,1.591,0.694,0.832,0.502,0.198,0.072
6.1000000000000005,2.452,1.591,0.694,0.832,0.5,0.198,0.072
6.2,2.452,1.591,0.694,0.832,0.501,0.199,0.072
6.300000000000001,2.452,1.591,0.694,0.833,0.502,0.199,0.072
6.4,2.324,1.484,0.653,0.833,0.502,0.199,0.072
6.5,2.452,1.591,0.694,0.833,0.502,0.2,0.072
6.6000000000000005,2.452,1.591,0.694,0.834,0.501,0.2,0.072
6.7,2.452,1.591,0.694,0.832,0.501,0.2,0.072
6.800000000000001,2.452,1.591,0.694,0.833,0.501,0.201,0.073
6.9,2.452,1.591,0.694,0.833,0.502,0.202,0.072
7.0,2.452,1.591,0.694,0.833,0.501,0.202,0.072
7.1000000000000005,2.452,1.591,0.694,0.833,0.501,0.202,0.072
7.2,2.711,1.814,0.778,0.834,0.501,0.203,0.072
7.300000000000001,2.452,1.591,0.694,0.834,0.501,0.202,0.072
7.4,2.452,1.591,0.694,0.833,0.502,0.203,0.073
7.5,2.452,1.591,0.694,0.834,0.502,0.203,0.072
7.6000000000000005,2.452,1.591,0.694,0.836,0.502,0.204,0.073
7.7,2.452,1.591,0.694,0.836,0.502,0.204,0.072
7.800000000000001,2.452,1.591,0.694,0.836,0.502,0.204,0.072
7.9,2.452,1.591,0.694,0.836,0.503,0.205,0.073
8.0,2.452,1.591,0.694,0.836,0.502,0.206,0.073
8.1,2.452,1.591,0.694,0.836,0.503,0.205,0.073
8.200000000000001,2.452,1.591,0.694,0.836,0.502,0.206,0.073
8.3,2.452,1.591,0.694,0.836,0.502,0.206,0.073
8.4,2.452,1.591,0.694,0.836,0.502,0.206,0.072
8.5,2.452,1.591,0.694,0.836,0.503,0.206,0.073
8.6,2.452,1.591,0.694,0.836,0.503,0.207,0.073
8.700000000000001,2.581,1.701,0.736,0.836,0.503,0.208,0.073
8.8,2.452,1.591,0.694,0.836,0.503,0.207,0.073
8.9,2.581,1.701,0.736,0.834,0.503,0.208,0.073
9.0,2.452,1.591,0.694,0.836,0.503,0.209,0.073
9.1,2.581,1.701,0.736,0.836,0.503,0.208,0.073
9.200000000000001,2.452,1.591,0.694,0.835,0.502,0.209,0.073
9.3,2.452,1.591,0.694,0.837,0.502,0.209,0.073
9.4,2.452,1.591,0.694,0.835,0.503,0.209,0.073
9.5,2.452,1.591,0.694,0.836,0.503,0.21,0.073
9.600000000000001,2.581,1.701,0.736,0.836,0.503,0.21,0.073
9.700000000000001,2.581,1.701,0.736,0.836,0.503,0.21,0.073
9.8,2.581,1.701,0.736,0.836,0.503,0.21,0.073
9.9,2.581,1.701,0.736,0.835,0.503,0.211,0.073
10.0,2.581,1.701,0.736,0.836,0.503,0.212,0.073
10.100000000000001,2.581,1.701,0.736,0.836,0.503,0.212,0.073
10.200000000000001,2.452,1.591,0.694,0.836,0.504,0.212,0.073
10.3,2.581,1.701,0.736,0.838,0.503,0.213,0.073
10.4,2.581,1.701,0.736,0.837,0.503,0.213,0.074
10.5,2.581,1.701,0.736,0.837,0.503,0.213,0.073
10.600000000000001,2.581,1.701,0.736,0.838,0.503,0.214,0.073
10.700000000000001,2.581,1.701,0.736,0.838,0.504,0.214,0.074
10.8,2.581,1.701,0.736,0.838,0.505,0.214,0.074
10.9,2.581,1.701,0.736,0.839,0.505,0.215,0.073
11.0,2.581,1.701,0.736,0.838,0.504,0.215,0.073
11.100000000000001,2.581,1.701,0.736,0.839,0.503,0.216,0.074
11.200000000000001,2.581,1.701,0.736,0.84,0.505,0.216,0.074
11.3,2.581,1.701,0.736,0.84,0.505,0.217,0.074
11.4,2.452,1.591,0.694,0.839,0.504,0.217,0.074
11.5,2.581,1.701,0.736,0.838,0.505,0.218,0.074
11.600000000000001,2.581,1.701,0.736,0.84,0.504,0.218,0.073
11.700000000000001,2.581,1.701,0.736,0.841,0.505,0.218,0.075
11.8,2.581,1.701,0.736,0.84,0.505,0.219,0.074
11.9,2.581,1.701,0.736,0.84,0.505,0.219,0.074
12.0,2.581,1.701,0.736,0.841,0.505,0.22,0.074
12.100000000000001,2.581,1.701,0.736,0.84,0.505,0.22,0.074
12.200000000000001,2.581,1.701,0.736,0.84,0.505,0.221,0.075
12.3,2.581,1.701,0.736,0.842,0.505,0.221,0.074
12.4,2.581,1.701,0.736,0.841,0.506,0.221,0.074
12.5,2.581,1.701,0.736,0.842,0.505,0.222,0.074
12.600000000000001,2.581,1.701,0.736,0.842,0.505,0.222,0.074
12.700000000000001,2.581,1.701,0.736,0.842,0.505,0.223,0.075
12.8,2.581,1.701,0.736,0.842,0.505,0.224,0.074
12.9,2.581,1.701,0.736,0.844,0.505,0.224,0.074
13.0,2.581,1.701,0.736,0.842,0.505,0.224,0.074
13.100000000000001,2.581,1.701,0.736,0.843,0.505,0.226,0.075
13.200000000000001,2.581,1.701,0.736,0.844,0.505,0.226,0.075
13.3,2.581,1.701,0.736,0.845,0.506,0.227,0.075
13.4,2.581,1.701,0.736,0.845,0.506,0.227,0.075
13.5,2.581,1.701,0.736,0.844,0.506,0.228,0.075
13.600000000000001,2.581,1.701,0.736,0.844,0.506,0.228,0.075
13.700000000000001,2.581,1.701,0.736,0.845,0.507,0.228,0.075
13.8,2.581,1.701,0.736,0.845,0.506,0.229,0.076
13.9,2.581,1.701,0.736,0.845,0.506,0.229,0.076
14.0,2.581,1.701,0.736,0.845,0.506,0.23,0.075
14.100000000000001,2.581,1.701,0.736,0.845,0.506,0.23,0.075
14.200000000000001,2.581,1.701,0.736,0.846,0.507,0.231,0.076
14.3,2.581,1.701,0.736,0.846,0.512,0.232,0.077
14.4,2.711,1.814,0.778,0.846,0.512,0.232,0.076
14.5,2.581,1.701,0.736,0.846,0.507,0.232,0.077
14.600000000000001,2.581,1.701,0.736,0.848,0.512,0.233,0.076
14.700000000000001,2.581,1.701,0.736,0.848,0.507,0.234,0.076
14.8,2.581,1.701,0.736,0.848,0.512,0.235,0.077
14.9,2.711,1.814,0.778,0.848,0.512,0.234,0.076
15.0,2.581,1.701,0.736,0.847,0.512,0.236,0.076
15.100000000000001,2.581,1.701,0.736,0.846,0.512,0.236,0.077
15.200000000000001,2.581,1.701,0.736,0.848,0.512,0.236,0.077
15.3,2.581,1.701,0.736,0.848,0.512,0.236,0.077
15.4,2.581,1.701,0.736,0.848,0.512,0.237,0.077
15.5,2.711,1.814,0.778,0.848,0.512,0.237,0.077
15.600000000000001,2.581,1.701,0.736,0.848,0.512,0.238,0.077
15.700000000000001,2.711,1.814,0.778,0.849,0.512,0.238,0.077
15.8,2.711,1.814,0.778,0.848,0.512,0.239,0.077
15.9,2.711,1.814,0.778,0.848,0.512,0.24,0.077
16.0,2.581,1.701,0.736,0.849,0.512,0.24,0.077
16.1,2.711,1.814,0.778,0.849,0.512,0.241,0.077
16.2,2.711,1.814,0.778,0.849,0.512,0.241,0.078
16.3,2.581,1.701,0.736,0.849,0.512,0.242,0.077
16.400000000000002,2.711,1.814,0.778,0.849,0.512,0.243,0.078
16.5,2.581,1.701,0.736,0.849,0.512,0.243,0.078
16.6,2.711,1.814,0.778,0.85,0.512,0.244,0.077
16.7,2.711,1.814,0.778,0.85,0.512,0.244,0.078
16.8,2.711,1.814,0.778,0.849,0.512,0.244,0.078
16.900000000000002,2.711,1.814,0.778,0.85,0.512,0.245,0.078
17.0,2.711,1.814,0.778,0.851,0.512,0.246,0.078
17.1,2.711,1.814,0.778,0.849,0.512,0.246,0.078
17.2,2.711,1.814,0.778,0.85,0.512,0.246,0.078
17.3,2.452,1.591,0.694,0.85,0.512,0.247,0.078
17.400000000000002,2.711,1.814,0.778,0.85,0.512,0.247,0.078
17.5,2.711,1.814,0.778,0.85,0.512,0.247,0.078
17.6,2.581,1.701,0.736,0.852,0.512,0.248,0.078
17.7,2.711,1.814,0.778,0.852,0.512,0.248,0.078
17.8,2.711,1.814,0.778,0.852,0.512,0.249,0.078
17.900000000000002,2.711,1.814,0.778,0.851,0.512,0.25,0.077
18.0,2.711,1.814,0.778,0.852,0.512,0.251,0.078
18.1,2.711,1.814,0.778,0.85,0.512,0.25,0.078
18.2,2.711,1.814,0.778,0.852,0.512,0.251,0.078
18.3,2.711,1.814,0.778,0.852,0.512,0.252,0.078
18.400000000000002,2.711,1.814,0.778,0.852,0.512,0.252,0.078
18.5,2.711,1.814,0.778,0.853,0.513,0.252,0.078
18.6,2.711,1.814,0.778,0.852,0.513,0.253,0.078
18.7,2.711,1.814,0.778,0.852,0.513,0.254,0.078
18.8,2.711,1.814,0.778,0.852,0.513,0.256,0.079
18.900000000000002,2.711,1.814,0.778,0.852,0.512,0.256,0.078
19.0,2.842,1.93,0.821,0.852,0.512,0.256,0.079
19.1,2.711,1.814,0.778,0.852,0.513,0.256,0.079
19.200000000000003,2.711,1.814,0.778,0.852,0.513,0.256,0.078
19.3,2.711,1.814,0.778,0.852,0.512,0.256,0.079
19.400000000000002,2.711,1.814,0.778,0.852,0.513,0.256,0.078
19.5,2.711,1.814,0.778,0.853,0.513,0.257,0.078
19.6,2.711,1.814,0.778,0.853,0.513,0.257,0.079
19.700000000000003,2.711,1.814,0.778,0.853,0.513,0.258,0.079
19.8,2.711,1.814,0.778,0.852,0.512,0.258,0.079
19.900000000000002,2.711,1.814,0.778,0.853,0.513,0.258,0.078
20.0,2.711,1.814,0.778,0.853,0.513,0.259,0.078
20.1,2.711,1.814,0.778,0.854,0.513,0.26,0.079
20.200000000000003,2.711,1.814,0.778,0.853,0.513,0.26,0.08
20.3,2.711,1.814,0.778,0.853,0.513,0.26,0.079
20.400000000000002,2.711,1.814,0.778,0.852,0.513,0.26,0.079
20.5,2.711,1.814,0.778,0.852,0.513,0.26,0.08
20.6,2.711,1.814,0.778,0.852,0.514,0.261,0.078
20.700000000000003,2.711,1.814,0.778,0.853,0.514,0.261,0.079
20.8,2.711,1.814,0.778,0.853,0.514,0.261,0.079
20.900000000000002,2.711,1.814,0.778,0.853,0.513,0.262,0.078
21.0,2.711,1.814,0.778,0.854,0.514,0.262,0.079
21.1,2.711,1.814,0.778,0.854,0.514,0.263,0.079
21.200000000000003,2.711,1.814,0.778,0.854,0.514,0.264,0.079
21.3,2.711,1.814,0.778,0.854,0.514,0.264,0.079
21.400000000000002,2.842,1.93,0.821,0.854,0.514,0.264,0.079
21.5,2.711,1.814,0.778,0.854,0.514,0.265,0.079
21.6,2.711,1.814,0.778,0.854,0.514,0.264,0.078
21.700000000000003,2.711,1.814,0.778,0.854,0.514,0.265,0.078
21.8,2.842,1.93,0.821,0.855,0.515,0.265,0.08
21.900000000000002,2.711,1.814,0.778,0.855,0.514,0.265,0.078
22.0,2.711,1.814,0.778,0.854,0.514,0.265,0.078
22.1,2.711,1.814,0.778,0.854,0.515,0.265,0.079
22.200000000000003,2.711,1.814,0.778,0.855,0.514,0.265,0.078
22.3,2.711,1.814,0.778,0.855,0.515,0.266,0.079
22.400000000000002,2.711,1.814,0.778,0.854,0.514,0.266,0.079
22.5,2.711,1.814,0.778,0.853,0.514,0.266,0.078
22.6,2.711,1.814,0.778,0.854,0.514,0.266,0.08
22.700000000000003,2.711,1.814,0.778,0.855,0.514,0.267,0.08
22.8,2.711,1.814,0.778,0.855,0.516,0.268,0.08
22.900000000000002,2.711,1.814,0.778,0.853,0.514,0.267,0.08
23.0,2.711,1.814,0.778,0.854,0.514,0.268,0.079
23.1,2.711,1.814,0.778,0.854,0.514,0.268,0.079
23.200000000000003,2.711,1.814,0.778,0.854,0.514,0.268,0.08
23.3,2.711,1.814,0.778,0.857,0.516,0.269,0.079
23.400000000000002,2.711,1.814,0.778,0.856,0.515,0.27,0.08
23.5,2.711,1.814,0.778,0.856,0.516,0.269,0.079
23.6,2.711,1.814,0.778,0.856,0.516,0.27,0.079
23.700000000000003,2.711,1.814,0.778,0.857,0.516,0.27,0.079
23.8,2.711,1.814,0.778,0.857,0.515,0.27,0.079
23.900000000000002,2.711,1.814,0.778,0.857,0.516,0.27,0.08
24.0,2.842,1.93,0.821,0.857,0.516,0.271,0.08
24.1,2.842,1.93,0.821,0.856,0.516,0.271,0.079
24.200000000000003,2.711,1.814,0.778,0.856,0.516,0.272,0.08
24.3,2.711,1.814,0.778,0.857,0.516,0.272,0.079
24.400000000000002,2.711,1.814,0.778,0.857,0.516,0.272,0.079
24.5,2.842,1.93,0.821,0.857,0.516,0.273,0.08
24.6,2.711,1.814,0.778,0.857,0.516,0.272,0.08
24.700000000000003,2.842,1.93,0.821,0.857,0.516,0.273,0.08
24.8,2.711,1.814,0.778,0.857,0.516,0.273,0.079
24.900000000000002,2.711,1.814,0.778,0.858,0.517,0.274,0.079
25.0,2.711,1.814,0.778,0.857,0.516,0.273,0.079
25.1,2.842,1.93,0.821,0.857,0.516,0.274,0.08
25.200000000000003,2.711,1.814,0.778,0.857,0.517,0.274,0.079
25.3,2.842,1.93,0.821,0.857,0.517,0.274,0.08
25.400000000000002,2.711,1.814,0.778,0.858,0.517,0.274,0.08
