Time(s),CO (MCS),Ethanol (MCS),VOC (MCS),NO2 (GM),Ethanol (GM),VOC (GM),CO (GM)
0.1,2.324,1.484,0.653,0.783,0.501,0.12,0.06
0.2,2.198,1.379,0.613,0.784,0.5,0.12,0.061
0.30000000000000004,2.198,1.379,0.613,0.784,0.5,0.122,0.061
0.4,2.198,1.379,0.613,0.785,0.5,0.121,0.061
0.5,2.198,1.379,0.613,0.784,0.501,0.122,0.061
0.6000000000000001,2.198,1.379,0.613,0.785,0.5,0.122,0.061
0.7000000000000001,2.198,1.379,0.613,0.784,0.5,0.122,0.061
0.8,2.198,1.379,0.613,0.784,0.501,0.122,0.061
0.9,2.198,1.379,0.613,0.785,0.5,0.123,0.062
1.0,2.198,1.379,0.613,0.786,0.501,0.123,0.062
1.1,1.949,1.179,0.535,0.786,0.501,0.123,0.062
1.2000000000000002,2.198,1.379,0.613,0.786,0.501,0.124,0.062
1.3,2.198,1.379,0.613,0.788,0.501,0.124,0.063
1.4000000000000001,2.198,1.379,0.613,0.787,0.501,0.124,0.063
1.5,2.198,1.379,0.613,0.788,0.501,0.124,0.063
1.6,2.198,1.379,0.613,0.789,0.501,0.125,0.062
1.7000000000000002,2.198,1.379,0.613,0.789,0.501,0.125,0.063
1.8,2.073,1.277,0.574,0.789,0.501,0.126,0.063
1.9000000000000001,2.198,1.379,0.613,0.789,0.501,0.126,0.063
2.0,2.073,1.277,0.574,0.79,0.501,0.126,0.063
2.1,2.198,1.379,0.613,0.79,0.501,0.126,0.063
2.2,2.198,1.379,0.613,0.79,0.502,0.126,0.063
2.3000000000000003,2.198,1.379,0.613,0.791,0.501,0.126,0.063
2.4000000000000004,2.198,1.379,0.613,0.791,0.501,0.126,0.063
2.5,2.198,1.379,0.613,0.792,0.502,0.127,0.063
2.6,2.198,1.379,0.613,0.793,0.502,0.127,0.063
2.7,2.198,1.379,0.613,0.792,0.501,0.127,0.063
2.8000000000000003,2.198,1.379,0.613,0.792,0.502,0.128,0.063
2.9000000000000004,2.198,1.379,0.613,0.793,0.502,0.128,0.062
3.0,2.198,1.379,0.613,0.792,0.502,0.128,0.063
3.1,2.198,1.379,0.613,0.793,0.501,0.128,0.063
3.2,2.198,1.379,0.613,0.793,0.502,0.128,0.062
3.3000000000000003,2.198,1.379,0.613,0.793,0.502,0.128,0.063
3.4000000000000004,2.198,1.379,0.613,0.793,0.502,0.128,0.062
3.5,2.198,1.379,0.613,0.794,0.502,0.127,0.062
3.6,2.198,1.379,0.613,0.794,0.503,0.128,0.063
3.7,2.198,1.379,0.613,0.794,0.502,0.128,0.062
3.8000000000000003,2.198,1.379,0.613,0.793,0.502,0.128,0.062
3.9000000000000004,2.198,1.379,0.613,0.794,0.502,0.128,0.062
4.0,2.198,1.379,0.613,0.794,0.503,0.128,0.062
4.1000000000000005,2.198,1.379,0.613,0.794,0.503,0.128,0.062
4.2,2.198,1.379,0.613,0.793,0.503,0.128,0.062
4.3,2.324,1.484,0.653,0.794,0.503,0.128,0.062
4.4,2.198,1.379,0.613,0.794,0.503,0.128,0.062
4.5,2.198,1.379,0.613,0.794,0.503,0.128,0.062
4.6000000000000005,2.198,1.379,0.613,0.793,0.503,0.128,0.062
4.7,2.198,1.379,0.613,0.794,0.503,0.128,0.063
4.800000000000001,2.198,1.379,0.613,0.794,0.503,0.128,0.062
4.9,2.324,1.484,0.653,0.794,0.502,0.128,0.062
5.0,2.198,1.379,0.613,0.794,0.503,0.128,0.062
5.1000000000000005,2.198,1.379,0.613,0.794,0.503,0.128,0.061
5.2,2.324,1.484,0.653,0.794,0.503,0.128,0.061
5.300000000000001,2.198,1.379,0.613,0.794,0.503,0.128,0.062
5.4,2.324,1.484,0.653,0.793,0.503,0.128,0.061
5.5,2.198,1.379,0.613,0.793,0.503,0.128,0.061
5.6000000000000005,2.324,1.484,0.653,0.794,0.503,0.128,0.062
5.7,2.198,1.379,0.613,0.794,0.503,0.128,0.062
5.800000000000001,2.324,1.484,0.653,0.793,0.503,0.128,0.062
5.9,2.198,1.379,0.613,0.793,0.504,0.129,0.061
6.0,2.324,1.484,0.653,0.794,0.504,0.128,0.062
6.1000000000000005,2.324,1.484,0.653,0.793,0.503,0.128,0.061
6.2,2.324,1.484,0.653,0.793,0.504,0.128,0.061
6.300000000000001,2.198,1.379,0.613,0.793,0.504,0.128,0.061
6.4,2.324,1.484,0.653,0.793,0.504,0.129,0.061
6.5,2.324,1.484,0.653,0.793,0.504,0.128,0.062
6.6000000000000005,2.324,1.484,0.653,0.792,0.504,0.128,0.062
6.7,2.324,1.484,0.653,0.793,0.505,0.128,0.061
6.800000000000001,2.324,1.484,0.653,0.793,0.505,0.128,0.061
6.9,2.324,1.484,0.653,0.793,0.504,0.128,0.061
7.0,2.324,1.484,0.653,0.792,0.505,0.128,0.061
7.1000000000000005,2.324,1.484,0.653,0.793,0.505,0.128,0.061
7.2,2.198,1.379,0.613,0.793,0.505,0.128,0.061
7.300000000000001,2.324,1.484,0.653,0.792,0.505,0.128,0.061
7.4,2.198,1.379,0.613,0.793,0.505,0.128,0.061
7.5,2.452,1.591,0.694,0.792,0.505,0.128,0.061
7.6000000000000005,2.198,1.379,0.613,0.793,0.505,0.128,0.061
7.7,2.324,1.484,0.653,0.793,0.505,0.128,0.061
7.800000000000001,2.324,1.484,0.653,0.792,0.505,0.128,0.061
7.9,2.324,1.484,0.653,0.793,0.505,0.128,0.061
8.0,2.324,1.484,0.653,0.793,0.506,0.128,0.061
8.1,2.324,1.484,0.653,0.792,0.505,0.128,0.06
8.200000000000001,2.198,1.379,0.613,0.793,0.505,0.128,0.061
8.3,2.324,1.484,0.653,0.793,0.505,0.128,0.061
8.4,2.324,1.484,0.653,0.793,0.505,0.128,0.061
8.5,2.198,1.379,0.613,0.793,0.505,0.128,0.061
8.6,2.198,1.379,0.613,0.793,0.505,0.128,0.061
8.700000000000001,2.324,1.484,0.653,0.793,0.506,0.128,0.061
8.8,2.324,1.484,0.653,0.793,0.506,0.128,0.061
8.9,2.324,1.484,0.653,0.794,0.506,0.128,0.061
9.0,2.324,1.484,0.653,0.793,0.506,0.128,0.061
9.1,2.324,1.484,0.653,0.793,0.506,0.128,0.062
9.200000000000001,2.324,1.484,0.653,0.793,0.506,0.128,0.062
9.3,2.452,1.591,0.694,0.794,0.506,0.128,0.061
9.4,2.324,1.484,0.653,0.794,0.506,0.128,0.061
9.5,2.324,1.484,0.653,0.794,0.506,0.128,0.061
9.600000000000001,2.324,1.484,0.653,0.794,0.506,0.128,0.061
9.700000000000001,2.324,1.484,0.653,0.794,0.506,0.128,0.062
9.8,2.324,1.484,0.653,0.794,0.506,0.128,0.061
9.9,2.711,1.814,0.778,0.794,0.506,0.128,0.061
10.0,2.324,1.484,0.653,0.794,0.506,0.128,0.061
10.100000000000001,2.324,1.484,0.653,0.794,0.507,0.128,0.062
10.200000000000001,2.324,1.484,0.653,0.795,0.507,0.129,0.061
10.3,2.324,1.484,0.653,0.794,0.507,0.13,0.062
10.4,2.324,1.484,0.653,0.794,0.507,0.13,0.062
10.5,2.324,1.484,0.653,0.795,0.506,0.13,0.061
10.600000000000001,2.324,1.484,0.653,0.796,0.506,0.13,0.061
