Time,CO (MCS),Ethanol (MCS),VOC (MCS),NO2 (GM),Ethanol (GM),VOC (GM),CO (GM)
0.0,3.234,2.285,0.95,0.965,0.685,0.47,0.056
0.1,3.323,2.368,0.98,0.965,0.685,0.471,0.055
0.2,3.269,2.318,0.962,0.965,0.686,0.471,0.055
0.30000000000000004,3.248,2.298,0.955,0.966,0.686,0.472,0.056
0.4,3.239,2.29,0.952,0.966,0.686,0.473,0.056
0.5,3.236,2.286,0.95,0.966,0.686,0.473,0.056
0.6000000000000001,3.279,2.327,0.965,0.965,0.685,0.473,0.056
0.7000000000000001,3.252,2.301,0.956,0.965,0.686,0.474,0.056
0.8,3.241,2.291,0.952,0.965,0.685,0.474,0.056
0.9,3.236,2.287,0.951,0.965,0.686,0.475,0.056
1.0,3.234,2.285,0.95,0.965,0.686,0.475,0.056
1.1,3.234,2.285,0.95,0.965,0.687,0.476,0.056
1.2000000000000002,3.233,2.285,0.95,0.964,0.686,0.476,0.056
1.3,3.233,2.284,0.95,0.964,0.686,0.476,0.056
1.4000000000000001,3.233,2.284,0.95,0.963,0.686,0.476,0.056
1.5,3.233,2.284,0.95,0.964,0.686,0.476,0.056
1.6,3.233,2.284,0.95,0.964,0.686,0.477,0.056
1.7000000000000002,3.233,2.284,0.95,0.964,0.686,0.477,0.056
1.8,3.278,2.326,0.965,0.963,0.686,0.478,0.056
1.9000000000000001,3.251,2.301,0.956,0.963,0.686,0.477,0.056
2.0,3.24,2.291,0.952,0.962,0.686,0.478,0.056
2.1,3.236,2.287,0.951,0.962,0.686,0.478,0.056
2.2,3.19,2.244,0.935,0.963,0.686,0.479,0.056
2.3000000000000003,3.216,2.268,0.944,0.963,0.686,0.479,0.056
2.4000000000000004,3.226,2.278,0.947,0.964,0.686,0.478,0.056
2.5,3.186,2.241,0.934,0.963,0.687,0.479,0.056
2.6,3.214,2.267,0.943,0.963,0.686,0.479,0.056
2.7,3.226,2.277,0.947,0.962,0.686,0.48,0.055
2.8000000000000003,3.23,2.282,0.949,0.963,0.687,0.48,0.056
2.9000000000000004,3.188,2.242,0.935,0.963,0.686,0.481,0.056
3.0,3.17,2.227,0.929,0.962,0.687,0.481,0.056
3.1,3.164,2.22,0.927,0.962,0.686,0.481,0.056
3.2,3.161,2.218,0.926,0.963,0.686,0.481,0.055
3.3000000000000003,3.16,2.217,0.925,0.962,0.686,0.482,0.056
3.4000000000000004,3.159,2.216,0.925,0.962,0.687,0.482,0.055
3.5,3.204,2.257,0.94,0.962,0.686,0.482,0.056
3.6,3.177,2.233,0.931,0.963,0.686,0.481,0.055
3.7,3.18,2.235,0.932,0.962,0.687,0.482,0.055
3.8000000000000003,3.167,2.224,0.928,0.961,0.686,0.482,0.055
3.9000000000000004,3.211,2.264,0.942,0.962,0.686,0.481,0.055
4.0,3.162,2.219,0.926,0.962,0.686,0.481,0.055
4.1000000000000005,3.16,2.217,0.926,0.963,0.686,0.483,0.055
4.2,3.16,2.217,0.925,0.963,0.687,0.484,0.056
4.3,3.159,2.216,0.925,0.964,0.686,0.484,0.056
4.4,3.159,2.216,0.925,0.964,0.687,0.484,0.056
4.5,3.159,2.216,0.925,0.964,0.687,0.484,0.056
4.6000000000000005,3.159,2.216,0.925,0.963,0.687,0.484,0.056
4.7,3.159,2.216,0.925,0.963,0.686,0.484,0.056
4.800000000000001,3.204,2.257,0.94,0.963,0.686,0.484,0.056
4.9,3.177,2.232,0.931,0.963,0.687,0.484,0.056
5.0,3.166,2.223,0.927,0.963,0.687,0.484,0.056
5.1000000000000005,3.162,2.219,0.926,0.964,0.687,0.485,0.056
5.2,3.16,2.217,0.925,0.963,0.688,0.484,0.056
5.300000000000001,3.16,2.216,0.925,0.963,0.687,0.485,0.055
5.4,3.159,2.216,0.925,0.962,0.688,0.485,0.056
5.5,3.159,2.216,0.925,0.963,0.688,0.485,0.056
5.6000000000000005,3.159,2.216,0.925,0.963,0.687,0.484,0.056
5.7,3.115,2.176,0.91,0.962,0.687,0.485,0.056
5.800000000000001,3.141,2.2,0.919,0.962,0.688,0.485,0.056
5.9,3.152,2.21,0.923,0.962,0.687,0.486,0.055
6.0,3.156,2.213,0.924,0.962,0.687,0.485,0.056
6.1000000000000005,3.158,2.215,0.925,0.962,0.688,0.485,0.055
6.2,3.159,2.216,0.925,0.962,0.687,0.485,0.055
6.300000000000001,3.159,2.216,0.925,0.962,0.687,0.485,0.055
6.4,3.159,2.216,0.925,0.961,0.687,0.486,0.056
6.5,3.159,2.216,0.925,0.962,0.687,0.486,0.055
6.6000000000000005,3.159,2.216,0.925,0.962,0.687,0.486,0.055
6.7,3.159,2.216,0.925,0.961,0.686,0.486,0.055
6.800000000000001,3.159,2.216,0.925,0.962,0.687,0.487,0.056
6.9,3.159,2.216,0.925,0.962,0.687,0.486,0.056
7.0,3.159,2.216,0.925,0.962,0.686,0.486,0.056
7.1000000000000005,3.159,2.216,0.925,0.962,0.686,0.486,0.055
7.2,3.159,2.216,0.925,0.962,0.686,0.486,0.055
7.300000000000001,3.159,2.216,0.925,0.962,0.686,0.487,0.056
7.4,3.159,2.216,0.925,0.962,0.688,0.487,0.055
7.5,3.159,2.216,0.925,0.962,0.687,0.488,0.056
7.6000000000000005,3.204,2.257,0.94,0.963,0.687,0.488,0.055
7.7,3.177,2.232,0.931,0.963,0.687,0.489,0.055
7.800000000000001,3.166,2.223,0.927,0.962,0.688,0.488,0.055
7.9,3.162,2.219,0.926,0.962,0.687,0.489,0.055
8.0,3.16,2.217,0.925,0.963,0.688,0.49,0.056
8.1,3.16,2.216,0.925,0.964,0.689,0.49,0.056
8.200000000000001,3.159,2.216,0.925,0.964,0.688,0.491,0.056
8.3,3.159,2.216,0.925,0.965,0.688,0.491,0.056
8.4,3.159,2.216,0.925,0.964,0.689,0.492,0.056
8.5,3.159,2.216,0.925,0.964,0.688,0.492,0.056
8.6,3.159,2.216,0.925,0.964,0.689,0.492,0.056
8.700000000000001,3.339,2.383,0.985,0.964,0.689,0.492,0.056
8.8,3.231,2.283,0.949,0.965,0.689,0.492,0.056
8.9,3.188,2.243,0.935,0.964,0.689,0.492,0.055
9.0,3.171,2.227,0.929,0.964,0.689,0.492,0.056
9.1,3.164,2.22,0.927,0.964,0.689,0.492,0.056
9.200000000000001,3.161,2.218,0.926,0.964,0.689,0.492,0.056
9.3,3.16,2.217,0.925,0.965,0.689,0.492,0.056
9.4,3.159,2.216,0.925,0.964,0.689,0.492,0.056
9.5,3.204,2.257,0.94,0.965,0.689,0.493,0.056
9.600000000000001,3.177,2.233,0.931,0.964,0.689,0.493,0.055
9.700000000000001,3.166,2.223,0.927,0.965,0.689,0.493,0.056
9.8,3.162,2.219,0.926,0.964,0.689,0.493,0.056
9.9,3.249,2.3,0.955,0.964,0.689,0.493,0.056
10.0,3.195,2.249,0.937,0.964,0.689,0.493,0.056
10.100000000000001,3.174,2.229,0.93,0.965,0.689,0.494,0.057
10.200000000000001,3.165,2.221,0.927,0.965,0.69,0.494,0.056
10.3,3.206,2.259,0.941,0.966,0.69,0.495,0.056
10.4,3.178,2.233,0.931,0.965,0.69,0.495,0.057
10.5,3.167,2.223,0.928,0.966,0.69,0.495,0.056
10.600000000000001,3.162,2.219,0.926,0.966,0.69,0.495,0.057
10.700000000000001,3.16,2.217,0.925,0.965,0.69,0.495,0.057
10.8,3.16,2.217,0.925,0.965,0.69,0.496,0.057
10.9,3.159,2.216,0.925,0.965,0.69,0.495,0.057
11.0,3.204,2.257,0.94,0.965,0.69,0.496,0.056
11.100000000000001,3.266,2.315,0.961,0.966,0.69,0.496,0.057
11.200000000000001,3.158,2.215,0.925,0.965,0.69,0.497,0.057
11.3,3.203,2.257,0.94,0.966,0.69,0.497,0.057
11.4,3.177,2.232,0.931,0.966,0.69,0.497,0.057
11.5,3.166,2.223,0.927,0.966,0.69,0.497,0.057
11.600000000000001,3.162,2.219,0.926,0.965,0.69,0.497,0.057
11.700000000000001,3.16,2.217,0.925,0.966,0.69,0.498,0.057
11.8,3.16,2.216,0.925,0.967,0.69,0.498,0.057
11.9,3.159,2.216,0.925,0.967,0.691,0.497,0.056
12.0,3.159,2.216,0.925,0.966,0.69,0.498,0.057
12.100000000000001,3.159,2.216,0.925,0.967,0.69,0.498,0.057
12.200000000000001,3.204,2.257,0.94,0.966,0.69,0.497,0.057
12.3,3.177,2.232,0.931,0.966,0.691,0.498,0.057
12.4,3.166,2.223,0.927,0.966,0.691,0.498,0.057
12.5,3.162,2.219,0.926,0.966,0.691,0.498,0.057
12.600000000000001,3.16,2.217,0.925,0.967,0.691,0.498,0.056
12.700000000000001,3.16,2.216,0.925,0.966,0.692,0.499,0.057
12.8,3.159,2.216,0.925,0.967,0.691,0.499,0.057
12.9,3.159,2.216,0.925,0.967,0.691,0.5,0.057
13.0,3.159,2.216,0.925,0.966,0.691,0.5,0.057
13.100000000000001,3.115,2.176,0.91,0.967,0.691,0.499,0.057
13.200000000000001,3.141,2.2,0.919,0.966,0.69,0.5,0.056
13.3,3.108,2.169,0.908,0.966,0.691,0.5,0.057
13.4,3.139,2.197,0.918,0.966,0.69,0.499,0.057
13.5,3.151,2.209,0.922,0.966,0.691,0.5,0.057
13.600000000000001,3.156,2.213,0.924,0.966,0.691,0.5,0.057
