Time,CO (MCS),Ethanol (MCS),VOC (MCS),NO2 (GM),Ethanol (GM),VOC (GM),CO (GM)
0.0,2.371,1.523,0.668,0.864,0.562,0.281,0.087
0.1,2.434,1.576,0.688,0.864,0.562,0.281,0.087
0.2,2.396,1.544,0.676,0.864,0.562,0.281,0.087
0.30000000000000004,2.381,1.531,0.672,0.864,0.561,0.281,0.087
0.4,2.344,1.5,0.66,0.864,0.562,0.281,0.087
0.5,2.33,1.488,0.655,0.864,0.561,0.281,0.087
0.6000000000000001,2.48,1.616,0.703,0.864,0.561,0.281,0.087
0.7000000000000001,2.384,1.534,0.672,0.864,0.561,0.28,0.086
0.8,2.345,1.501,0.66,0.864,0.562,0.281,0.086
0.9,2.37,1.522,0.668,0.865,0.562,0.281,0.088
1.0,2.361,1.514,0.665,0.863,0.562,0.28,0.086
1.1,2.336,1.494,0.657,0.864,0.562,0.28,0.086
1.2000000000000002,2.42,1.564,0.684,0.862,0.562,0.279,0.085
1.3,2.422,1.566,0.685,0.861,0.561,0.279,0.086
1.4000000000000001,2.361,1.514,0.665,0.861,0.561,0.278,0.086
1.5,2.336,1.493,0.657,0.86,0.562,0.278,0.086
1.6,2.265,1.434,0.634,0.86,0.562,0.278,0.086
1.7000000000000002,2.298,1.461,0.645,0.861,0.562,0.278,0.085
1.8,2.311,1.472,0.649,0.861,0.561,0.278,0.085
1.9000000000000001,2.316,1.477,0.651,0.86,0.562,0.278,0.085
2.0,2.318,1.479,0.651,0.86,0.561,0.278,0.085
2.1,2.319,1.479,0.652,0.859,0.562,0.278,0.085
2.2,2.319,1.479,0.652,0.859,0.561,0.277,0.085
2.3000000000000003,2.32,1.48,0.652,0.859,0.562,0.277,0.084
2.4000000000000004,2.32,1.48,0.652,0.859,0.561,0.277,0.085
2.5,2.32,1.48,0.652,0.858,0.561,0.277,0.084
2.6,2.32,1.48,0.652,0.858,0.561,0.277,0.085
2.7,2.32,1.48,0.652,0.858,0.561,0.276,0.084
2.8000000000000003,2.32,1.48,0.652,0.859,0.561,0.276,0.084
2.9000000000000004,2.32,1.48,0.652,0.858,0.561,0.276,0.085
3.0,2.289,1.454,0.642,0.858,0.561,0.276,0.085
3.1,2.276,1.444,0.638,0.858,0.561,0.276,0.085
3.2,2.302,1.465,0.646,0.858,0.561,0.276,0.084
3.3000000000000003,2.282,1.448,0.64,0.858,0.561,0.276,0.084
3.4000000000000004,2.305,1.467,0.647,0.858,0.561,0.276,0.084
3.5,2.283,1.449,0.64,0.857,0.561,0.276,0.084
3.6,2.305,1.467,0.647,0.858,0.562,0.276,0.084
3.7,2.283,1.449,0.64,0.857,0.562,0.276,0.084
3.8000000000000003,2.305,1.467,0.647,0.857,0.561,0.275,0.083
3.9000000000000004,2.283,1.449,0.64,0.858,0.561,0.276,0.084
4.0,2.274,1.442,0.637,0.858,0.562,0.275,0.084
4.1000000000000005,2.301,1.465,0.646,0.858,0.561,0.275,0.085
4.2,2.282,1.448,0.64,0.857,0.562,0.276,0.084
4.3,2.274,1.441,0.637,0.858,0.562,0.275,0.084
4.4,2.301,1.464,0.646,0.858,0.562,0.275,0.084
4.5,2.281,1.448,0.64,0.858,0.561,0.274,0.084
